,date,lunage
0,20090101,5.0
1,20090102,6.0
2,20090103,7.0
3,20090104,8.0
4,20090105,9.0
5,20090106,10.0
6,20090107,11.0
7,20090108,12.0
8,20090109,13.0
9,20090110,14.0
10,20090111,15.0
11,20090112,16.0
12,20090113,17.0
13,20090114,18.0
14,20090115,19.0
15,20090116,20.0
16,20090117,21.0
17,20090118,22.0
18,20090119,23.0
19,20090120,24.0
20,20090121,25.0
21,20090122,26.0
22,20090123,27.0
23,20090124,28.0
24,20090125,29.0
25,20090126,0.2
26,20090127,1.2
27,20090128,2.2
28,20090129,3.2
29,20090130,4.2
30,20090131,5.2
31,20090201,6.2
32,20090202,7.2
33,20090203,8.2
34,20090204,9.2
35,20090205,10.2
36,20090206,11.2
37,20090207,12.2
38,20090208,13.2
39,20090209,14.2
40,20090210,15.2
41,20090211,16.2
42,20090212,17.2
43,20090213,18.2
44,20090214,19.2
45,20090215,20.2
46,20090216,21.2
47,20090217,22.2
48,20090218,23.2
49,20090219,24.2
50,20090220,25.2
51,20090221,26.2
52,20090222,27.2
53,20090223,28.2
54,20090224,29.2
55,20090225,0.4
56,20090226,1.4
57,20090227,2.4
58,20090228,3.4
59,20090301,4.4
60,20090302,5.4
61,20090303,6.4
62,20090304,7.4
63,20090305,8.4
64,20090306,9.4
65,20090307,10.4
66,20090308,11.4
67,20090309,12.4
68,20090310,13.4
69,20090311,14.4
70,20090312,15.4
71,20090313,16.4
72,20090314,17.4
73,20090315,18.4
74,20090316,19.4
75,20090317,20.4
76,20090318,21.4
77,20090319,22.4
78,20090320,23.4
79,20090321,24.4
80,20090322,25.4
81,20090323,26.4
82,20090324,27.4
83,20090325,28.4
84,20090326,29.4
85,20090327,0.8
86,20090328,1.8
87,20090329,2.8
88,20090330,3.8
89,20090331,4.8
90,20090401,5.8
91,20090402,6.8
92,20090403,7.8
93,20090404,8.8
94,20090405,9.8
95,20090406,10.8
96,20090407,11.8
97,20090408,12.8
98,20090409,13.8
99,20090410,14.8
100,20090411,15.8
101,20090412,16.8
102,20090413,17.8
103,20090414,18.8
104,20090415,19.8
105,20090416,20.8
106,20090417,21.8
107,20090418,22.8
108,20090419,23.8
109,20090420,24.8
110,20090421,25.8
111,20090422,26.8
112,20090423,27.8
113,20090424,28.8
114,20090425,0.4
115,20090426,1.4
116,20090427,2.4
117,20090428,3.4
118,20090429,4.4
119,20090430,5.4
120,20090501,6.4
121,20090502,7.4
122,20090503,8.4
123,20090504,9.4
124,20090505,10.4
125,20090506,11.4
126,20090507,12.4
127,20090508,13.4
128,20090509,14.4
129,20090510,15.4
130,20090511,16.4
131,20090512,17.4
132,20090513,18.4
133,20090514,19.4
134,20090515,20.4
135,20090516,21.4
136,20090517,22.4
137,20090518,23.4
138,20090519,24.4
139,20090520,25.4
140,20090521,26.4
141,20090522,27.4
142,20090523,28.4
143,20090524,29.4
144,20090525,1.0
145,20090526,2.0
146,20090527,3.0
147,20090528,4.0
148,20090529,5.0
149,20090530,6.0
150,20090531,7.0
151,20090601,8.0
152,20090602,9.0
153,20090603,10.0
154,20090604,11.0
155,20090605,12.0
156,20090606,13.0
157,20090607,14.0
158,20090608,15.0
159,20090609,16.0
160,20090610,17.0
161,20090611,18.0
162,20090612,19.0
163,20090613,20.0
164,20090614,21.0
165,20090615,22.0
166,20090616,23.0
167,20090617,24.0
168,20090618,25.0
169,20090619,26.0
170,20090620,27.0
171,20090621,28.0
172,20090622,29.0
173,20090623,0.7
174,20090624,1.7
175,20090625,2.7
176,20090626,3.7
177,20090627,4.7
178,20090628,5.7
179,20090629,6.7
180,20090630,7.7
181,20090701,8.7
182,20090702,9.7
183,20090703,10.7
184,20090704,11.7
185,20090705,12.7
186,20090706,13.7
187,20090707,14.7
188,20090708,15.7
189,20090709,16.7
190,20090710,17.7
191,20090711,18.7
192,20090712,19.7
193,20090713,20.7
194,20090714,21.7
195,20090715,22.7
196,20090716,23.7
197,20090717,24.7
198,20090718,25.7
199,20090719,26.7
200,20090720,27.7
201,20090721,28.7
202,20090722,0.4
203,20090723,1.4
204,20090724,2.4
205,20090725,3.4
206,20090726,4.4
207,20090727,5.4
208,20090728,6.4
209,20090729,7.4
210,20090730,8.4
211,20090731,9.4
212,20090801,10.4
213,20090802,11.4
214,20090803,12.4
215,20090804,13.4
216,20090805,14.4
217,20090806,15.4
218,20090807,16.4
219,20090808,17.4
220,20090809,18.4
221,20090810,19.4
222,20090811,20.4
223,20090812,21.4
224,20090813,22.4
225,20090814,23.4
226,20090815,24.4
227,20090816,25.4
228,20090817,26.4
229,20090818,27.4
230,20090819,28.4
231,20090820,0.1
232,20090821,1.1
233,20090822,2.1
234,20090823,3.1
235,20090824,4.1
236,20090825,5.1
237,20090826,6.1
238,20090827,7.1
239,20090828,8.1
240,20090829,9.1
241,20090830,10.1
242,20090831,11.1
243,20090901,12.1
244,20090902,13.1
245,20090903,14.1
246,20090904,15.1
247,20090905,16.1
248,20090906,17.1
249,20090907,18.1
250,20090908,19.1
251,20090909,20.1
252,20090910,21.1
253,20090911,22.1
254,20090912,23.1
255,20090913,24.1
256,20090914,25.1
257,20090915,26.1
258,20090916,27.1
259,20090917,28.1
260,20090918,29.1
261,20090919,0.7
262,20090920,1.7
