,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,HAS@HNX,20110928,73.58,0.24,73.47,74.53,73.47,베트남 하노이 HNX,베트남,0.3267,1.0
1,HAS@HNX,20110929,72.09,-1.49,73.63,73.68,71.84,베트남 하노이 HNX,베트남,-2.0458,2.0
2,HAS@HNX,20110930,71.34,-0.75,72.07,72.47,71.33,베트남 하노이 HNX,베트남,-1.0458,3.0
3,HAS@HNX,20111003,70.38,-0.96,71.38,71.55,70.1,베트남 하노이 HNX,베트남,-1.3548,6.0
4,HAS@HNX,20111004,70.46,0.08,70.18,70.7,69.6,베트남 하노이 HNX,베트남,0.1136,7.0
5,HAS@HNX,20111005,70.34,-0.12,70.48,71.21,70.27,베트남 하노이 HNX,베트남,-0.1705,8.0
6,HAS@HNX,20111006,72.1,1.76,70.36,72.11,70.36,베트남 하노이 HNX,베트남,2.4713,9.0
7,HAS@HNX,20111007,71.5,-0.6,72.23,72.32,71.26,베트남 하노이 HNX,베트남,-0.8357,10.0
8,HAS@HNX,20111010,70.46,-1.04,71.52,71.52,70.43,베트남 하노이 HNX,베트남,-1.4652,13.0
9,HAS@HNX,20111011,70.93,0.47,70.57,71.68,70.57,베트남 하노이 HNX,베트남,0.6648,14.0
10,HAS@HNX,20111012,69.48,-1.45,70.87,70.87,69.35,베트남 하노이 HNX,베트남,-2.0655,15.0
11,HAS@HNX,20111013,69.11,-0.37,69.54,69.84,68.75,베트남 하노이 HNX,베트남,-0.534,16.0
12,HAS@HNX,20111014,69.19,0.08,69.19,69.73,68.98,베트남 하노이 HNX,베트남,0.1157,17.0
13,HAS@HNX,20111017,68.46,-0.73,69.26,69.55,68.44,베트남 하노이 HNX,베트남,-1.0607,20.0
14,HAS@HNX,20111018,67.81,-0.65,68.53,68.53,67.71,베트남 하노이 HNX,베트남,-0.954,21.0
15,HAS@HNX,20111019,67.93,0.12,67.58,68.23,67.45,베트남 하노이 HNX,베트남,0.1768,22.0
16,HAS@HNX,20111020,67.72,-0.21,68.06,68.31,67.69,베트남 하노이 HNX,베트남,-0.3096,23.0
17,HAS@HNX,20111021,69.13,1.41,67.73,69.13,67.73,베트남 하노이 HNX,베트남,2.0607,24.0
18,HAS@HNX,20111024,68.43,-0.7,69.25,69.74,68.41,베트남 하노이 HNX,베트남,-1.0177,27.0
19,HAS@HNX,20111025,67.72,-0.71,68.54,68.55,67.67,베트남 하노이 HNX,베트남,-1.043,28.0
