,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,HSI@HSI,20090105,15563.31,520.5,15349.33,15563.31,15128.32,항셍,홍콩,3.4016,9.0
1,HSI@HSI,20090106,15509.51,-53.8,15612.47,15651.61,15367.93,항셍,홍콩,-0.3463,10.0
2,HSI@HSI,20090107,14987.46,-522.05,15759.53,15763.55,14976.74,항셍,홍콩,-3.424,11.0
3,HSI@HSI,20090108,14415.91,-571.55,14755.81,14755.81,14334.15,항셍,홍콩,-3.8881,12.0
4,HSI@HSI,20090109,14377.44,-38.47,14530.83,14673.6,14297.41,항셍,홍콩,-0.2672,13.0
5,HSI@HSI,20090112,13971.0,-406.44,14312.26,14312.26,13895.04,항셍,홍콩,-2.8677,16.0
6,HSI@HSI,20090113,13668.05,-302.95,13930.27,14118.93,13644.54,항셍,홍콩,-2.1923,17.0
7,HSI@HSI,20090114,13704.61,36.56,13807.03,14019.03,13674.96,항셍,홍콩,0.2671,18.0
8,HSI@HSI,20090115,13242.96,-461.65,13136.23,13300.75,12904.05,항셍,홍콩,-3.4266,19.0
9,HSI@HSI,20090116,13255.51,12.55,13278.97,13423.24,13113.45,항셍,홍콩,0.0947,20.0
10,HSI@HSI,20090119,13339.99,84.48,13414.09,13519.18,13097.5,항셍,홍콩,0.6353,23.0
11,HSI@HSI,20090120,12959.77,-380.22,12854.4,13160.87,12816.25,항셍,홍콩,-2.8916,24.0
12,HSI@HSI,20090121,12583.63,-376.14,12534.6,12762.54,12439.13,항셍,홍콩,-2.9453,25.0
13,HSI@HSI,20090122,12657.99,74.36,12844.37,12895.25,12657.1,항셍,홍콩,0.5892,26.0
14,HSI@HSI,20090123,12578.6,-79.39,12542.01,12734.8,12469.84,항셍,홍콩,-0.6292,27.0
15,HSI@HSI,20090129,13154.43,575.83,13560.07,13560.07,13109.27,항셍,홍콩,4.4762,3.2
16,HSI@HSI,20090130,13278.21,123.78,12958.08,13390.12,12899.57,항셍,홍콩,0.9366,4.2
17,HSI@HSI,20090202,12861.49,-416.72,13194.0,13239.5,12733.35,항셍,홍콩,-3.1887,7.2
18,HSI@HSI,20090203,12776.89,-84.6,12991.49,13065.97,12729.04,항셍,홍콩,-0.66,8.2
19,HSI@HSI,20090204,13063.89,287.0,13029.42,13108.74,12975.3,항셍,홍콩,2.2214,9.2
20,HSI@HSI,20090205,13178.9,115.01,13084.79,13492.53,13018.64,항셍,홍콩,0.8765,10.2
21,HSI@HSI,20090206,13655.04,476.14,13535.76,13660.24,13322.62,항셍,홍콩,3.5492,11.2
22,HSI@HSI,20090209,13769.06,114.02,13865.59,13865.59,13561.54,항셍,홍콩,0.8315,14.2
23,HSI@HSI,20090210,13880.64,111.58,13787.12,13976.31,13663.41,항셍,홍콩,0.8071,15.2
24,HSI@HSI,20090211,13539.21,-341.43,13546.14,13600.02,13363.06,항셍,홍콩,-2.4905,16.2
25,HSI@HSI,20090212,13228.3,-310.91,13439.58,13478.66,13174.01,항셍,홍콩,-2.3231,17.2
26,HSI@HSI,20090213,13554.67,326.37,13314.81,13576.32,13314.02,항셍,홍콩,2.4373,18.2
27,HSI@HSI,20090216,13455.88,-98.79,13559.82,13559.82,13257.35,항셍,홍콩,-0.7315,21.2
28,HSI@HSI,20090217,12945.4,-510.48,13195.51,13195.51,12933.91,항셍,홍콩,-3.8676,22.2
29,HSI@HSI,20090218,13016.0,70.6,12783.79,13031.28,12712.33,항셍,홍콩,0.5439,23.2
30,HSI@HSI,20090219,13023.36,7.36,12873.1,13055.72,12788.08,항셍,홍콩,0.0565,24.2
31,HSI@HSI,20090220,12699.17,-324.19,12719.14,12816.79,12669.57,항셍,홍콩,-2.5208,25.2
32,HSI@HSI,20090223,13175.1,475.93,12777.96,13207.98,12777.96,항셍,홍콩,3.6792,28.2
33,HSI@HSI,20090224,12798.52,-376.58,12789.29,12814.37,12634.84,항셍,홍콩,-2.8999,29.2
34,HSI@HSI,20090225,13005.08,206.56,12979.86,13148.31,12858.28,항셍,홍콩,1.6011,0.4
35,HSI@HSI,20090226,12894.94,-110.14,13070.41,13071.58,12691.96,항셍,홍콩,-0.8505,1.4
36,HSI@HSI,20090227,12811.57,-83.37,12929.99,13032.3,12799.81,항셍,홍콩,-0.6486,2.4
37,HSI@HSI,20090302,12317.46,-494.11,12522.61,12576.45,12296.86,항셍,홍콩,-3.9331,5.4
