,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,IDI@JKSE,20090106,1435.54,-1.8,1438.41,1462.63,1430.09,인도네시아 IDX종합,인도네시아,-0.1253,10.0
1,IDI@JKSE,20090107,1421.47,-14.07,1440.25,1472.46,1414.15,인도네시아 IDX종합,인도네시아,-0.985,11.0
2,IDI@JKSE,20090108,1402.66,-18.81,1401.09,1421.47,1388.09,인도네시아 IDX종합,인도네시아,-1.3321,12.0
3,IDI@JKSE,20090109,1416.67,14.01,1400.69,1416.67,1395.32,인도네시아 IDX종합,인도네시아,0.9939,13.0
4,IDI@JKSE,20090112,1406.55,-10.12,1416.67,1416.67,1392.21,인도네시아 IDX종합,인도네시아,-0.7169,16.0
5,IDI@JKSE,20090113,1399.73,-6.82,1395.44,1412.68,1392.35,인도네시아 IDX종합,인도네시아,-0.4861,17.0
6,IDI@JKSE,20090114,1386.91,-12.82,1406.51,1416.06,1383.26,인도네시아 IDX종합,인도네시아,-0.9201,18.0
7,IDI@JKSE,20090115,1343.49,-43.42,1358.69,1386.91,1329.3,인도네시아 IDX종합,인도네시아,-3.1808,19.0
8,IDI@JKSE,20090116,1363.88,20.39,1349.82,1363.88,1343.49,인도네시아 IDX종합,인도네시아,1.5063,20.0
9,IDI@JKSE,20090119,1350.69,-13.19,1370.89,1375.37,1342.08,인도네시아 IDX종합,인도네시아,-0.9718,23.0
10,IDI@JKSE,20090120,1344.15,-6.54,1335.72,1350.69,1320.69,인도네시아 IDX종합,인도네시아,-0.4854,24.0
11,IDI@JKSE,20090121,1321.45,-22.7,1344.15,1344.15,1311.38,인도네시아 IDX종합,인도네시아,-1.7032,25.0
12,IDI@JKSE,20090122,1327.32,5.87,1332.32,1336.78,1314.74,인도네시아 IDX종합,인도네시아,0.4432,26.0
13,IDI@JKSE,20090123,1315.58,-11.74,1321.42,1327.32,1307.52,인도네시아 IDX종합,인도네시아,-0.8884,27.0
14,IDI@JKSE,20090127,1336.63,21.05,1320.14,1340.94,1315.58,인도네시아 IDX종합,인도네시아,1.5874,1.2
15,IDI@JKSE,20090128,1321.45,-15.18,1339.93,1339.94,1320.79,인도네시아 IDX종합,인도네시아,-1.1422,2.2
16,IDI@JKSE,20090129,1324.65,3.2,1333.62,1336.63,1319.66,인도네시아 IDX종합,인도네시아,0.2419,3.2
17,IDI@JKSE,20090130,1332.67,8.02,1324.52,1332.67,1315.24,인도네시아 IDX종합,인도네시아,0.6036,4.2
18,IDI@JKSE,20090202,1310.64,-22.03,1330.01,1332.67,1298.02,인도네시아 IDX종합,인도네시아,-1.6669,7.2
19,IDI@JKSE,20090203,1304.33,-6.31,1311.19,1313.49,1300.07,인도네시아 IDX종합,인도네시아,-0.4826,8.2
20,IDI@JKSE,20090204,1320.36,16.03,1311.88,1320.36,1304.33,인도네시아 IDX종합,인도네시아,1.2215,9.2
21,IDI@JKSE,20090205,1328.07,7.71,1319.51,1331.51,1318.78,인도네시아 IDX종합,인도네시아,0.5822,10.2
22,IDI@JKSE,20090206,1350.64,22.57,1337.57,1351.91,1328.07,인도네시아 IDX종합,인도네시아,1.6852,11.2
23,IDI@JKSE,20090209,1342.23,-8.41,1360.94,1360.94,1332.27,인도네시아 IDX종합,인도네시아,-0.6246,14.2
24,IDI@JKSE,20090210,1332.13,-10.1,1360.94,1342.27,1326.66,인도네시아 IDX종합,인도네시아,-0.7553,15.2
25,IDI@JKSE,20090211,1324.82,-7.31,1327.39,1332.13,1302.03,인도네시아 IDX종합,인도네시아,-0.5503,16.2
26,IDI@JKSE,20090212,1325.42,0.6,1322.1,1325.65,1315.38,인도네시아 IDX종합,인도네시아,0.0453,17.2
27,IDI@JKSE,20090213,1338.74,13.32,1326.87,1342.76,1325.42,인도네시아 IDX종합,인도네시아,0.9999,18.2
28,IDI@JKSE,20090216,1342.0,3.26,1338.02,1346.17,1336.51,인도네시아 IDX종합,인도네시아,0.2432,21.2
29,IDI@JKSE,20090217,1318.04,-23.96,1342.0,1342.0,1311.46,인도네시아 IDX종합,인도네시아,-1.8015,22.2
30,IDI@JKSE,20090218,1330.61,12.57,1312.47,1331.64,1304.35,인도네시아 IDX종합,인도네시아,0.9492,23.2
31,IDI@JKSE,20090219,1323.7,-6.91,1330.81,1330.81,1313.72,인도네시아 IDX종합,인도네시아,-0.5207,24.2
32,IDI@JKSE,20090220,1296.94,-26.76,1320.62,1323.7,1291.41,인도네시아 IDX종합,인도네시아,-2.0423,25.2
33,IDI@JKSE,20090223,1312.44,15.5,1298.28,1312.44,1294.37,인도네시아 IDX종합,인도네시아,1.188,28.2
34,IDI@JKSE,20090224,1295.87,-16.57,1305.7,1312.44,1286.72,인도네시아 IDX종합,인도네시아,-1.2706,29.2
35,IDI@JKSE,20090225,1300.11,4.24,1301.08,1312.34,1290.16,인도네시아 IDX종합,인도네시아,0.3267,0.4
36,IDI@JKSE,20090226,1290.32,-9.79,1300.1,1303.75,1281.77,인도네시아 IDX종합,인도네시아,-0.7559,1.4
37,IDI@JKSE,20090227,1285.48,-4.84,1292.28,1293.95,1281.07,인도네시아 IDX종합,인도네시아,-0.3758,2.4
38,IDI@JKSE,20090302,1256.11,-29.37,1285.47,1285.3,1252.9,인도네시아 IDX종합,인도네시아,-2.3113,5.4
39,IDI@JKSE,20090303,1264.82,8.71,1256.1,1270.95,1244.86,인도네시아 IDX종합,인도네시아,0.691,6.4
40,IDI@JKSE,20090304,1289.38,24.56,1264.81,1289.8,1261.5,인도네시아 IDX종합,인도네시아,1.9232,7.4
41,IDI@JKSE,20090305,1288.07,-1.31,1289.38,1300.2,1282.22,인도네시아 IDX종합,인도네시아,-0.1017,8.4
42,IDI@JKSE,20090306,1286.69,-1.38,1288.07,1290.62,1278.86,인도네시아 IDX종합,인도네시아,-0.1072,9.4
43,IDI@JKSE,20090310,1300.21,13.52,1286.69,1300.54,1282.63,인도네시아 IDX종합,인도네시아,1.0453,13.4
44,IDI@JKSE,20090311,1314.52,14.31,1300.21,1319.51,1300.51,인도네시아 IDX종합,인도네시아,1.0946,14.4
45,IDI@JKSE,20090312,1310.41,-4.11,1314.51,1318.15,1305.25,인도네시아 IDX종합,인도네시아,-0.3132,15.4
46,IDI@JKSE,20090313,1327.44,17.03,1310.41,1333.21,1310.66,인도네시아 IDX종합,인도네시아,1.2912,16.4
47,IDI@JKSE,20090316,1324.85,-2.59,1327.43,1340.99,1322.48,인도네시아 IDX종합,인도네시아,-0.1953,19.4
48,IDI@JKSE,20090317,1312.09,-12.76,1324.84,1326.11,1308.39,인도네시아 IDX종합,인도네시아,-0.9678,20.4
49,IDI@JKSE,20090318,1322.84,10.75,1312.09,1324.08,1312.39,인도네시아 IDX종합,인도네시아,0.816,21.4
50,IDI@JKSE,20090319,1341.6,18.76,1322.83,1347.11,1322.86,인도네시아 IDX종합,인도네시아,1.4082,22.4
51,IDI@JKSE,20090320,1360.89,19.29,1341.6,1364.31,1341.15,인도네시아 IDX종합,인도네시아,1.4276,23.4
52,IDI@JKSE,20090323,1406.65,45.76,1360.88,1407.59,1361.14,인도네시아 IDX종합,인도네시아,3.3072,26.4
53,IDI@JKSE,20090324,1436.12,29.47,1406.64,1449.95,1408.15,인도네시아 IDX종합,인도네시아,2.0734,27.4
54,IDI@JKSE,20090325,1419.97,-16.15,1436.11,1448.47,1418.25,인도네시아 IDX종합,인도네시아,-1.1309,28.4
55,IDI@JKSE,20090327,1462.74,42.77,1419.97,1467.52,1422.62,인도네시아 IDX종합,인도네시아,2.9676,0.8
56,IDI@JKSE,20090330,1419.09,-43.65,1462.74,1463.59,1404.37,인도네시아 IDX종합,인도네시아,-3.0296,3.8
57,IDI@JKSE,20090331,1434.07,14.98,1419.09,1453.77,1417.33,인도네시아 IDX종합,인도네시아,1.0501,4.8
58,IDI@JKSE,20090401,1461.75,27.68,1434.07,1464.39,1434.09,인도네시아 IDX종합,인도네시아,1.9118,5.8
59,IDI@JKSE,20090402,1499.73,37.98,1461.74,1499.73,1461.81,인도네시아 IDX종합,인도네시아,2.5651,6.8
60,IDI@JKSE,20090403,1500.36,0.63,1499.73,1511.33,1494.12,인도네시아 IDX종합,인도네시아,0.042,7.8
61,IDI@JKSE,20090406,1516.64,16.28,1500.36,1527.18,1500.45,인도네시아 IDX종합,인도네시아,1.0792,10.8
62,IDI@JKSE,20090407,1490.86,-25.78,1516.64,1516.57,1483.72,인도네시아 IDX종합,인도네시아,-1.7144,11.8
63,IDI@JKSE,20090408,1465.75,-25.11,1490.85,1491.11,1460.03,인도네시아 IDX종합,인도네시아,-1.6986,12.8
64,IDI@JKSE,20090413,1540.4,74.65,1465.75,1540.4,1473.72,인도네시아 IDX종합,인도네시아,4.9675,17.8
65,IDI@JKSE,20090414,1570.26,29.86,1540.4,1573.4,1536.66,인도네시아 IDX종합,인도네시아,1.9199,18.8
66,IDI@JKSE,20090415,1593.66,23.4,1570.26,1603.31,1564.94,인도네시아 IDX종합,인도네시아,1.4792,19.8
67,IDI@JKSE,20090416,1625.09,31.43,1593.66,1641.8,1593.78,인도네시아 IDX종합,인도네시아,1.953,20.8
68,IDI@JKSE,20090417,1634.79,9.7,1625.08,1659.34,1619.34,인도네시아 IDX종합,인도네시아,0.5951,21.8
69,IDI@JKSE,20090420,1661.84,27.05,1634.79,1661.84,1618.88,인도네시아 IDX종합,인도네시아,1.6411,24.8
70,IDI@JKSE,20090421,1628.85,-32.99,1661.84,1661.78,1606.32,인도네시아 IDX종합,인도네시아,-2.0051,25.8
71,IDI@JKSE,20090422,1615.23,-13.62,1628.84,1674.92,1610.46,인도네시아 IDX종합,인도네시아,-0.8397,26.8
72,IDI@JKSE,20090423,1592.7,-22.53,1615.23,1615.25,1585.92,인도네시아 IDX종합,인도네시아,-1.4047,27.8
73,IDI@JKSE,20090424,1591.34,-1.36,1592.7,1609.97,1576.28,인도네시아 IDX종합,인도네시아,-0.0854,28.8
74,IDI@JKSE,20090427,1576.08,-15.26,1591.33,1598.96,1574.22,인도네시아 IDX종합,인도네시아,-0.9636,2.4
75,IDI@JKSE,20090428,1595.92,19.84,1576.08,1618.06,1576.1,인도네시아 IDX종합,인도네시아,1.251,3.4
76,IDI@JKSE,20090429,1644.19,48.27,1595.91,1648.63,1595.97,인도네시아 IDX종합,인도네시아,2.9797,4.4
77,IDI@JKSE,20090430,1722.77,78.58,1644.18,1728.06,1644.23,인도네시아 IDX종합,인도네시아,4.6686,5.4
78,IDI@JKSE,20090501,1729.58,6.81,1722.76,1738.71,1701.99,인도네시아 IDX종합,인도네시아,0.3945,6.4
79,IDI@JKSE,20090504,1788.15,58.57,1729.58,1796.71,1729.59,인도네시아 IDX종합,인도네시아,3.3303,9.4
80,IDI@JKSE,20090505,1772.07,-16.08,1788.14,1823.38,1759.48,인도네시아 IDX종합,인도네시아,-0.9033,10.4
