,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,INI@BSE30,20090102,9958.22,54.76,9991.83,10070.28,9863.86,인도 SENSEX,인도,0.5514,6.0
1,INI@BSE30,20090105,10275.6,317.38,10124.92,10306.17,10069.11,인도 SENSEX,인도,3.1374,9.0
2,INI@BSE30,20090106,10335.93,60.33,10241.51,10392.12,10150.68,인도 SENSEX,인도,0.5854,10.0
3,INI@BSE30,20090107,9586.88,-749.05,10415.92,10469.72,9510.15,인도 SENSEX,인도,-7.5231,11.0
4,INI@BSE30,20090109,9406.47,-180.41,9434.85,9630.4,9250.82,인도 SENSEX,인도,-1.8998,13.0
5,INI@BSE30,20090112,9110.05,-296.42,9306.74,9331.13,9024.45,인도 SENSEX,인도,-3.202,16.0
6,INI@BSE30,20090113,9071.36,-38.69,9042.36,9261.0,8992.92,인도 SENSEX,인도,-0.4256,17.0
7,INI@BSE30,20090114,9370.49,299.13,9223.16,9412.97,9071.36,인도 SENSEX,인도,3.2443,18.0
8,INI@BSE30,20090115,9046.74,-323.75,9000.62,9123.78,8946.62,인도 SENSEX,인도,-3.5161,19.0
9,INI@BSE30,20090116,9323.59,276.85,9125.65,9342.47,9125.65,인도 SENSEX,인도,3.0143,20.0
10,INI@BSE30,20090119,9329.57,5.98,9365.04,9409.51,9273.47,인도 SENSEX,인도,0.0641,23.0
11,INI@BSE30,20090120,9100.55,-229.02,9159.76,9159.76,9033.55,인도 SENSEX,인도,-2.4854,24.0
12,INI@BSE30,20090121,8779.17,-321.38,8900.78,9051.31,8734.93,인도 SENSEX,인도,-3.5953,25.0
13,INI@BSE30,20090122,8813.84,34.67,8905.97,8927.69,8699.32,인도 SENSEX,인도,0.3941,26.0
14,INI@BSE30,20090123,8674.35,-139.49,8804.15,8858.84,8631.6,인도 SENSEX,인도,-1.5953,27.0
15,INI@BSE30,20090127,9004.08,329.73,8803.07,9021.97,8789.06,인도 SENSEX,인도,3.7307,1.2
16,INI@BSE30,20090128,9257.47,253.39,9077.65,9270.75,9053.8,인도 SENSEX,인도,2.7753,2.2
17,INI@BSE30,20090129,9236.28,-21.19,9340.59,9379.68,9164.96,인도 SENSEX,인도,-0.2292,3.2
18,INI@BSE30,20090130,9424.24,187.96,9111.12,9438.31,9087.36,인도 SENSEX,인도,2.0146,4.2
19,INI@BSE30,20090202,9066.7,-357.54,9363.58,9363.58,9048.97,인도 SENSEX,인도,-3.8677,7.2
20,INI@BSE30,20090203,9149.3,82.6,9128.99,9302.75,9040.56,인도 SENSEX,인도,0.9069,8.2
21,INI@BSE30,20090204,9201.85,52.55,9226.2,9338.21,9164.16,인도 SENSEX,인도,0.5727,9.2
22,INI@BSE30,20090205,9090.88,-110.97,9241.56,9247.09,9017.08,인도 SENSEX,인도,-1.2133,10.2
23,INI@BSE30,20090206,9300.86,209.98,9161.49,9321.38,9158.59,인도 SENSEX,인도,2.2835,11.2
24,INI@BSE30,20090209,9583.89,283.03,9359.0,9601.56,9329.23,인도 SENSEX,인도,2.9977,14.2
25,INI@BSE30,20090210,9647.47,63.58,9589.95,9724.87,9510.5,인도 SENSEX,인도,0.6612,15.2
26,INI@BSE30,20090211,9618.54,-28.93,9462.14,9648.39,9459.59,인도 SENSEX,인도,-0.3003,16.2
27,INI@BSE30,20090212,9465.83,-152.71,9559.03,9580.13,9445.54,인도 SENSEX,인도,-1.6004,17.2
28,INI@BSE30,20090213,9634.74,168.91,9540.6,9695.59,9540.6,인도 SENSEX,인도,1.7687,18.2
29,INI@BSE30,20090216,9305.45,-329.29,9637.04,9637.04,9279.1,인도 SENSEX,인도,-3.4775,21.2
30,INI@BSE30,20090217,9035.0,-270.45,9213.4,9213.4,8994.34,인도 SENSEX,인도,-2.9494,22.2
31,INI@BSE30,20090218,9015.18,-19.82,8939.38,9113.92,8922.31,인도 SENSEX,인도,-0.2196,23.2
32,INI@BSE30,20090219,9042.63,27.45,9034.9,9111.95,8977.66,인도 SENSEX,인도,0.304,24.2
33,INI@BSE30,20090220,8843.21,-199.42,8943.78,8943.78,8762.58,인도 SENSEX,인도,-2.23,25.2
34,INI@BSE30,20090224,8822.06,-21.15,8707.35,8856.52,8619.22,인도 SENSEX,인도,-0.2395,29.2
35,INI@BSE30,20090225,8902.56,80.5,8913.44,8995.04,8879.72,인도 SENSEX,인도,0.9083,0.4
36,INI@BSE30,20090226,8954.86,52.3,8905.56,8998.31,8788.32,인도 SENSEX,인도,0.5858,1.4
37,INI@BSE30,20090227,8891.61,-63.25,8944.11,8944.11,8728.66,인도 SENSEX,인도,-0.7088,2.4
38,INI@BSE30,20090302,8607.08,-284.53,8762.88,8762.88,8563.52,인도 SENSEX,인도,-3.2523,5.4
39,INI@BSE30,20090303,8427.29,-179.79,8583.06,8635.2,8390.21,인도 SENSEX,인도,-2.111,6.4
40,INI@BSE30,20090304,8446.49,19.2,8473.25,8501.46,8373.24,인도 SENSEX,인도,0.2276,7.4
41,INI@BSE30,20090305,8197.92,-248.57,8535.03,8535.03,8166.97,인도 SENSEX,인도,-2.9871,8.4
42,INI@BSE30,20090306,8325.82,127.9,8103.75,8347.74,8047.17,인도 SENSEX,인도,1.5481,9.4
43,INI@BSE30,20090309,8160.4,-165.42,8259.22,8259.22,8110.1,인도 SENSEX,인도,-2.0068,12.4
44,INI@BSE30,20090312,8343.75,183.35,8274.78,8439.71,8274.78,인도 SENSEX,인도,2.222,15.4
45,INI@BSE30,20090313,8756.61,412.86,8480.74,8793.21,8480.74,인도 SENSEX,인도,4.8296,16.4
46,INI@BSE30,20090316,8943.54,186.93,8793.89,8955.73,8697.46,인도 SENSEX,인도,2.1123,19.4
47,INI@BSE30,20090317,8863.82,-79.72,8942.01,9024.12,8801.79,인도 SENSEX,인도,-0.8954,20.4
48,INI@BSE30,20090318,8976.68,112.86,8956.3,9120.46,8951.32,인도 SENSEX,인도,1.2652,21.4
49,INI@BSE30,20090319,9001.75,25.07,9023.04,9086.77,8900.39,인도 SENSEX,인도,0.2789,22.4
50,INI@BSE30,20090320,8966.68,-35.07,8938.25,8999.98,8867.13,인도 SENSEX,인도,-0.3904,23.4
51,INI@BSE30,20090323,9424.02,457.34,9040.3,9454.69,9040.3,인도 SENSEX,인도,4.9746,26.4
52,INI@BSE30,20090324,9471.04,47.02,9549.52,9699.0,9402.64,인도 SENSEX,인도,0.4977,27.4
53,INI@BSE30,20090325,9667.9,196.86,9442.3,9706.47,9430.45,인도 SENSEX,인도,2.0572,28.4
54,INI@BSE30,20090326,10003.1,335.2,9739.93,10061.36,9739.93,인도 SENSEX,인도,3.4084,29.4
55,INI@BSE30,20090327,10048.49,45.39,10036.8,10127.09,9913.4,인도 SENSEX,인도,0.4527,0.8
56,INI@BSE30,20090330,9568.14,-480.35,9902.35,9902.35,9520.96,인도 SENSEX,인도,-4.8984,3.8
57,INI@BSE30,20090331,9708.5,140.36,9633.21,9826.22,9547.21,인도 SENSEX,인도,1.4563,4.8
58,INI@BSE30,20090401,9901.99,193.49,9745.77,9921.96,9546.29,인도 SENSEX,인도,1.9734,5.8
59,INI@BSE30,20090402,10348.83,446.84,10254.11,10432.31,10107.25,인도 SENSEX,인도,4.4138,6.8
60,INI@BSE30,20090406,10534.87,186.04,10521.78,10654.89,10410.44,인도 SENSEX,인도,1.7817,10.8
61,INI@BSE30,20090408,10742.34,207.47,10283.58,10778.11,10171.91,인도 SENSEX,인도,1.9502,12.8
62,INI@BSE30,20090409,10803.86,61.52,10876.15,10932.12,10655.96,인도 SENSEX,인도,0.5711,13.8
