,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,LNS@FTSE100,20090105,4579.64,17.85,4561.79,4618.11,4520.76,영국 FTSE 100,영국,0.3905,9.0
1,LNS@FTSE100,20090106,4638.92,59.28,4579.64,4675.68,4562.01,영국 FTSE 100,영국,1.2861,10.0
2,LNS@FTSE100,20090107,4507.51,-131.41,4638.92,4638.92,4477.99,영국 FTSE 100,영국,-2.8737,11.0
3,LNS@FTSE100,20090108,4505.37,-2.14,4507.51,4514.71,4410.48,영국 FTSE 100,영국,-0.0475,12.0
4,LNS@FTSE100,20090109,4448.54,-56.83,4505.37,4534.81,4431.88,영국 FTSE 100,영국,-1.2694,13.0
5,LNS@FTSE100,20090112,4426.19,-22.35,4448.54,4471.34,4402.29,영국 FTSE 100,영국,-0.5037,16.0
6,LNS@FTSE100,20090113,4399.15,-27.04,4426.19,4426.19,4321.34,영국 FTSE 100,영국,-0.6128,17.0
7,LNS@FTSE100,20090114,4180.64,-218.51,4399.15,4426.47,4115.43,영국 FTSE 100,영국,-5.0947,18.0
8,LNS@FTSE100,20090115,4121.11,-59.53,4180.64,4199.39,4090.87,영국 FTSE 100,영국,-1.4342,19.0
9,LNS@FTSE100,20090119,4108.47,-38.59,4147.06,4251.92,4032.39,영국 FTSE 100,영국,-0.3072,23.0
10,LNS@FTSE100,20090120,4091.4,-17.07,4108.47,4184.25,4060.57,영국 FTSE 100,영국,-0.4163,24.0
11,LNS@FTSE100,20090121,4059.88,-31.52,4091.4,4112.84,4001.35,영국 FTSE 100,영국,-0.7734,25.0
12,LNS@FTSE100,20090122,4052.23,-7.65,4059.88,4153.88,4046.37,영국 FTSE 100,영국,-0.1886,26.0
13,LNS@FTSE100,20090123,4052.47,0.24,4052.23,4070.75,3956.67,영국 FTSE 100,영국,0.0059,27.0
14,LNS@FTSE100,20090126,4209.01,156.54,4052.47,4225.21,4039.41,영국 FTSE 100,영국,3.7901,0.2
15,LNS@FTSE100,20090127,4194.41,-14.6,4209.01,4211.03,4130.79,영국 FTSE 100,영국,-0.3475,1.2
16,LNS@FTSE100,20090128,4295.2,100.79,4194.41,4317.61,4194.41,영국 FTSE 100,영국,2.3745,2.2
17,LNS@FTSE100,20090129,4190.11,-105.09,4295.2,4295.2,4147.7,영국 FTSE 100,영국,-2.4771,3.2
18,LNS@FTSE100,20090130,4149.64,-40.47,4190.11,4228.0,4125.2,영국 FTSE 100,영국,-0.9705,4.2
19,LNS@FTSE100,20090202,4077.78,-71.86,4149.64,4149.64,4036.93,영국 FTSE 100,영국,-1.7469,7.2
20,LNS@FTSE100,20090203,4164.46,86.68,4077.78,4173.24,4043.37,영국 FTSE 100,영국,2.1034,8.2
21,LNS@FTSE100,20090204,4228.6,64.14,4164.46,4262.73,4160.43,영국 FTSE 100,영국,1.5284,9.2
22,LNS@FTSE100,20090205,4228.93,0.33,4228.6,4235.28,4133.52,영국 FTSE 100,영국,0.0078,10.2
23,LNS@FTSE100,20090206,4291.87,62.94,4228.93,4330.73,4225.62,영국 FTSE 100,영국,1.4774,11.2
24,LNS@FTSE100,20090209,4307.61,15.74,4291.87,4333.97,4244.04,영국 FTSE 100,영국,0.3661,14.2
25,LNS@FTSE100,20090210,4213.08,-94.53,4307.61,4309.49,4210.46,영국 FTSE 100,영국,-2.2189,15.2
26,LNS@FTSE100,20090211,4234.26,21.18,4213.08,4244.53,4182.1,영국 FTSE 100,영국,0.5015,16.2
27,LNS@FTSE100,20090212,4202.24,-32.02,4234.26,4234.26,4135.07,영국 FTSE 100,영국,-0.7591,17.2
28,LNS@FTSE100,20090213,4189.59,-12.65,4202.24,4291.57,4168.01,영국 FTSE 100,영국,-0.3015,18.2
29,LNS@FTSE100,20090216,4134.75,-54.84,4189.59,4189.59,4127.26,영국 FTSE 100,영국,-1.3176,21.2
30,LNS@FTSE100,20090217,4034.13,-100.62,4134.75,4134.75,3995.39,영국 FTSE 100,영국,-2.4636,22.2
31,LNS@FTSE100,20090218,4006.83,-27.3,4034.13,4056.48,3938.12,영국 FTSE 100,영국,-0.679,23.2
32,LNS@FTSE100,20090219,4018.37,11.54,4006.83,4045.2,3983.91,영국 FTSE 100,영국,0.2876,24.2
33,LNS@FTSE100,20090220,3889.06,-129.31,4018.37,4018.37,3877.76,영국 FTSE 100,영국,-3.2709,25.2
34,LNS@FTSE100,20090223,3850.73,-38.33,3889.06,3959.98,3844.9,영국 FTSE 100,영국,-0.9905,28.2
35,LNS@FTSE100,20090224,3816.44,-34.29,3850.73,3852.25,3772.45,영국 FTSE 100,영국,-0.8945,29.2
36,LNS@FTSE100,20090225,3848.98,32.54,3816.44,3884.06,3803.92,영국 FTSE 100,영국,0.849,0.4
37,LNS@FTSE100,20090226,3915.64,66.66,3848.98,3948.22,3848.98,영국 FTSE 100,영국,1.7171,1.4
38,LNS@FTSE100,20090227,3830.09,-85.55,3915.64,3915.64,3760.7,영국 FTSE 100,영국,-2.209,2.4
39,LNS@FTSE100,20090302,3625.83,-204.26,3830.09,3830.09,3625.83,영국 FTSE 100,영국,-5.4805,5.4
40,LNS@FTSE100,20090303,3512.09,-113.74,3625.83,3676.86,3497.27,영국 FTSE 100,영국,-3.1872,6.4
41,LNS@FTSE100,20090304,3645.87,133.78,3512.09,3649.5,3512.09,영국 FTSE 100,영국,3.7384,7.4
42,LNS@FTSE100,20090305,3529.86,-116.01,3645.87,3645.87,3526.41,영국 FTSE 100,영국,-3.2337,8.4
43,LNS@FTSE100,20090306,3530.73,0.87,3529.86,3590.22,3492.1,영국 FTSE 100,영국,0.0246,9.4
44,LNS@FTSE100,20090309,3542.4,11.67,3530.73,3564.75,3460.71,영국 FTSE 100,영국,0.33,12.4
45,LNS@FTSE100,20090310,3715.23,172.83,3542.4,3726.31,3516.3,영국 FTSE 100,영국,4.7636,13.4
46,LNS@FTSE100,20090311,3693.81,-21.42,3715.23,3763.24,3652.01,영국 FTSE 100,영국,-0.5782,14.4
47,LNS@FTSE100,20090312,3712.06,18.25,3693.81,3725.6,3616.5,영국 FTSE 100,영국,0.4929,15.4
48,LNS@FTSE100,20090313,3753.68,41.62,3712.06,3816.02,3712.06,영국 FTSE 100,영국,1.115,16.4
49,LNS@FTSE100,20090316,3863.99,110.31,3753.68,3863.99,3753.68,영국 FTSE 100,영국,2.8964,19.4
50,LNS@FTSE100,20090317,3857.1,-6.89,3863.99,3863.99,3793.13,영국 FTSE 100,영국,-0.1785,20.4
51,LNS@FTSE100,20090318,3804.99,-52.11,3857.1,3901.65,3768.5,영국 FTSE 100,영국,-1.3602,21.4
52,LNS@FTSE100,20090319,3816.93,11.94,3804.99,3912.64,3793.7,영국 FTSE 100,영국,0.3133,22.4
53,LNS@FTSE100,20090320,3842.85,25.92,3816.93,3854.87,3777.73,영국 FTSE 100,영국,0.6768,23.4
54,LNS@FTSE100,20090323,3952.81,109.96,3842.85,3978.6,3842.85,영국 FTSE 100,영국,2.8212,26.4
55,LNS@FTSE100,20090324,3911.46,-41.35,3952.81,3992.42,3878.42,영국 FTSE 100,영국,-1.0516,27.4
56,LNS@FTSE100,20090325,3900.25,-11.21,3911.46,3939.16,3852.96,영국 FTSE 100,영국,-0.287,28.4
57,LNS@FTSE100,20090326,3925.2,24.95,3900.25,3929.54,3877.79,영국 FTSE 100,영국,0.6377,29.4
58,LNS@FTSE100,20090330,3762.91,-135.94,3898.85,3898.85,3762.91,영국 FTSE 100,영국,-4.2225,3.8
59,LNS@FTSE100,20090331,3926.14,163.23,3762.91,3930.62,3762.91,영국 FTSE 100,영국,4.2464,4.8
60,LNS@FTSE100,20090401,3955.61,29.47,3926.14,3972.68,3838.22,영국 FTSE 100,영국,0.7478,5.8
61,LNS@FTSE100,20090402,4124.97,169.36,3955.61,4137.85,3955.61,영국 FTSE 100,영국,4.1924,6.8
62,LNS@FTSE100,20090403,4029.67,-95.3,4124.97,4132.93,4015.59,영국 FTSE 100,영국,-2.3374,7.8
63,LNS@FTSE100,20090406,3993.54,-36.13,4029.67,4097.17,3959.6,영국 FTSE 100,영국,-0.9006,10.8
64,LNS@FTSE100,20090407,3930.52,-63.02,4003.36,4097.17,3909.88,영국 FTSE 100,영국,-1.5906,11.8
65,LNS@FTSE100,20090408,3925.52,-5.0,3930.52,3940.42,3876.11,영국 FTSE 100,영국,-0.1273,12.8
66,LNS@FTSE100,20090409,3983.71,58.19,3945.26,3986.28,3911.99,영국 FTSE 100,영국,1.4715,13.8
67,LNS@FTSE100,20090414,3988.99,5.28,3983.71,4039.67,3939.61,영국 FTSE 100,영국,0.1325,18.8
68,LNS@FTSE100,20090415,3968.4,-20.59,3988.99,4023.35,3941.61,영국 FTSE 100,영국,-0.5175,19.8
69,LNS@FTSE100,20090416,4052.98,84.58,3968.4,4052.98,3963.57,영국 FTSE 100,영국,2.1089,20.8
70,LNS@FTSE100,20090417,4092.8,39.82,4060.47,4114.32,4043.21,영국 FTSE 100,영국,0.9777,21.8
71,LNS@FTSE100,20090420,3990.86,-101.94,4092.8,4112.75,3962.87,영국 FTSE 100,영국,-2.5223,24.8
