,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,RUI@RTSI,20090111,626.85,-5.04,631.99,641.87,626.47,러시아 RTS,러시아,0.0,15.0
1,RUI@RTSI,20090112,629.49,-2.64,626.85,629.96,620.89,러시아 RTS,러시아,0.4203,16.0
2,RUI@RTSI,20090113,621.0,-8.49,628.2,628.2,610.77,러시아 RTS,러시아,-1.3579,17.0
3,RUI@RTSI,20090114,591.34,-29.66,621.0,625.0,591.34,러시아 RTS,러시아,-4.894,18.0
4,RUI@RTSI,20090115,569.12,-22.22,587.61,587.61,564.28,러시아 RTS,러시아,-3.83,19.0
5,RUI@RTSI,20090116,566.77,-2.35,569.17,572.92,565.46,러시아 RTS,러시아,-0.4138,20.0
6,RUI@RTSI,20090119,531.66,-35.11,566.26,566.26,531.66,러시아 RTS,러시아,-6.3949,23.0
7,RUI@RTSI,20090120,514.29,-17.37,531.66,531.66,509.27,러시아 RTS,러시아,-3.3217,24.0
8,RUI@RTSI,20090121,530.09,15.8,514.1,530.09,506.64,러시아 RTS,러시아,3.0259,25.0
9,RUI@RTSI,20090122,515.51,-14.58,530.09,535.9,515.26,러시아 RTS,러시아,-2.789,26.0
10,RUI@RTSI,20090123,498.2,-17.3,515.41,515.5,492.59,러시아 RTS,러시아,-3.4155,27.0
11,RUI@RTSI,20090126,539.38,41.18,498.2,539.65,498.2,러시아 RTS,러시아,7.9419,0.2
12,RUI@RTSI,20090127,547.04,7.66,539.38,554.83,539.11,러시아 RTS,러시아,1.4102,1.2
13,RUI@RTSI,20090128,546.39,-0.65,547.04,548.65,539.85,러시아 RTS,러시아,-0.1189,2.2
14,RUI@RTSI,20090129,530.7,-15.69,546.39,546.49,529.33,러시아 RTS,러시아,-2.9136,3.2
15,RUI@RTSI,20090130,535.04,4.34,530.7,535.85,525.82,러시아 RTS,러시아,0.8145,4.2
16,RUI@RTSI,20090202,508.25,-26.79,535.04,535.04,505.64,러시아 RTS,러시아,-5.1368,7.2
17,RUI@RTSI,20090203,512.34,4.09,508.15,517.25,508.15,러시아 RTS,러시아,0.8015,8.2
18,RUI@RTSI,20090204,514.89,2.54,512.22,519.45,512.22,러시아 RTS,러시아,0.4965,9.2
19,RUI@RTSI,20090205,513.12,-1.77,514.9,522.23,513.12,러시아 RTS,러시아,-0.3444,10.2
20,RUI@RTSI,20090206,520.91,7.79,513.12,521.24,513.12,러시아 RTS,러시아,1.5068,11.2
21,RUI@RTSI,20090209,569.14,48.23,520.91,569.14,520.91,러시아 RTS,러시아,8.8549,14.2
22,RUI@RTSI,20090210,602.86,33.72,569.47,602.9,565.92,러시아 RTS,러시아,5.7559,15.2
23,RUI@RTSI,20090211,620.58,17.72,602.63,620.7,586.83,러시아 RTS,러시아,2.897,16.2
24,RUI@RTSI,20090212,611.45,-9.13,620.33,627.66,611.44,러시아 RTS,러시아,-1.4821,17.2
25,RUI@RTSI,20090213,624.21,12.76,611.45,629.94,611.45,러시아 RTS,러시아,2.0654,18.2
26,RUI@RTSI,20090216,609.3,-14.9,624.29,629.94,607.49,러시아 RTS,러시아,-2.4176,21.2
27,RUI@RTSI,20090217,552.03,-57.28,609.3,609.3,551.7,러시아 RTS,러시아,-9.8708,22.2
28,RUI@RTSI,20090218,524.26,-27.77,552.03,552.03,511.44,러시아 RTS,러시아,-5.1615,23.2
29,RUI@RTSI,20090219,549.21,24.95,524.26,549.21,524.26,러시아 RTS,러시아,4.6493,24.2
30,RUI@RTSI,20090220,517.22,-31.99,549.21,549.21,515.66,러시아 RTS,러시아,-6.0013,25.2
31,RUI@RTSI,20090224,524.69,7.47,517.08,524.69,512.83,러시아 RTS,러시아,1.4339,29.2
32,RUI@RTSI,20090225,538.11,13.42,524.71,538.11,524.71,러시아 RTS,러시아,2.5255,0.4
33,RUI@RTSI,20090226,547.54,9.44,538.11,547.79,537.94,러시아 RTS,러시아,1.7373,1.4
34,RUI@RTSI,20090227,544.58,-2.97,547.36,555.97,544.58,러시아 RTS,러시아,-0.5421,2.4
35,RUI@RTSI,20090302,539.37,-5.21,544.58,544.58,537.0,러시아 RTS,러시아,-0.9613,5.4
