,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,TWS@TI01,20090106,4727.26,28.95,4719.54,4754.88,4679.43,대만 가권,대만,0.6143,10.0
1,TWS@TI01,20090107,4789.84,62.58,4780.44,4817.44,4752.91,대만 가권,대만,1.3151,11.0
2,TWS@TI01,20090108,4535.79,-254.05,4670.62,4687.4,4532.74,대만 가권,대만,-5.4498,12.0
3,TWS@TI01,20090109,4502.74,-33.05,4515.1,4546.71,4472.45,대만 가권,대만,-0.7313,13.0
4,TWS@TI01,20090110,4467.53,-35.21,4450.52,4500.02,4441.09,대만 가권,대만,-0.785,14.0
5,TWS@TI01,20090112,4453.9,-13.63,4487.68,4523.01,4431.04,대만 가권,대만,-0.3056,16.0
6,TWS@TI01,20090113,4532.36,78.46,4442.38,4532.36,4423.14,대만 가권,대만,1.7463,17.0
7,TWS@TI01,20090114,4521.47,-10.89,4538.25,4579.24,4521.47,대만 가권,대만,-0.2406,18.0
8,TWS@TI01,20090115,4320.77,-200.7,4350.49,4351.47,4315.62,대만 가권,대만,-4.5404,19.0
9,TWS@TI01,20090116,4353.7,32.93,4374.78,4382.43,4313.19,대만 가권,대만,0.7592,20.0
10,TWS@TI01,20090119,4366.76,0.66,4389.08,4398.53,4366.19,대만 가권,대만,0.2995,23.0
11,TWS@TI01,20090120,4242.61,-124.15,4304.35,4304.35,4242.61,대만 가권,대만,-2.8843,24.0
12,TWS@TI01,20090121,4247.97,5.36,4164.68,4265.33,4164.19,대만 가권,대만,0.1263,25.0
13,TWS@TI01,20090202,4259.98,12.01,4277.1,4285.12,4240.08,대만 가권,대만,0.2823,7.2
14,TWS@TI01,20090203,4372.81,112.83,4300.56,4389.87,4295.26,대만 가권,대만,2.6141,8.2
15,TWS@TI01,20090204,4389.97,17.16,4422.56,4422.56,4366.41,대만 가권,대만,0.3917,9.2
16,TWS@TI01,20090205,4363.25,-26.72,4380.8,4422.41,4363.25,대만 가권,대만,-0.6105,10.2
17,TWS@TI01,20090206,4471.25,108.0,4438.3,4507.3,4432.16,대만 가권,대만,2.4451,11.2
18,TWS@TI01,20090209,4494.59,23.34,4562.68,4574.74,4494.59,대만 가권,대만,0.5206,14.2
19,TWS@TI01,20090210,4526.1,31.51,4524.05,4533.95,4491.84,대만 가권,대만,0.6986,15.2
20,TWS@TI01,20090211,4575.95,49.85,4448.24,4575.95,4448.24,대만 가권,대만,1.0954,16.2
21,TWS@TI01,20090212,4466.42,-109.53,4581.3,4594.75,4466.42,대만 가권,대만,-2.4227,17.2
22,TWS@TI01,20090213,4592.5,126.08,4504.71,4599.61,4504.71,대만 가권,대만,2.7837,18.2
23,TWS@TI01,20090216,4591.26,-1.24,4605.77,4607.97,4575.98,대만 가권,대만,-0.027,21.2
24,TWS@TI01,20090217,4491.78,-99.48,4572.97,4585.28,4475.17,대만 가권,대만,-2.1905,22.2
25,TWS@TI01,20090218,4498.37,6.59,4455.75,4520.67,4428.29,대만 가권,대만,0.1466,23.2
26,TWS@TI01,20090219,4528.87,30.5,4475.16,4571.31,4433.43,대만 가권,대만,0.6757,24.2
