,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,XTR@DAX30,20090106,5026.31,42.32,4992.67,5111.02,4960.21,독일 DAX30,독일,1.0649,10.0
1,XTR@DAX30,20090107,4937.47,-88.84,5008.62,5010.97,4914.22,독일 DAX30,독일,-1.7833,11.0
2,XTR@DAX30,20090108,4879.91,-57.56,4897.16,4917.62,4820.08,독일 DAX30,독일,-1.1726,12.0
3,XTR@DAX30,20090112,4719.62,-64.27,4765.38,4791.96,4708.5,독일 DAX30,독일,-3.3398,16.0
4,XTR@DAX30,20090113,4636.94,-82.68,4704.51,4704.51,4596.49,독일 DAX30,독일,-1.7674,17.0
5,XTR@DAX30,20090114,4422.35,-214.59,4661.84,4670.84,4379.88,독일 DAX30,독일,-4.7383,18.0
6,XTR@DAX30,20090115,4336.73,-85.62,4434.22,4451.32,4295.76,독일 DAX30,독일,-1.9551,19.0
7,XTR@DAX30,20090116,4366.28,29.55,4395.79,4474.86,4357.82,독일 DAX30,독일,0.6791,20.0
8,XTR@DAX30,20090119,4316.14,-50.14,4409.88,4452.57,4249.91,독일 DAX30,독일,-1.155,23.0
9,XTR@DAX30,20090120,4239.85,-76.29,4297.42,4382.11,4222.76,독일 DAX30,독일,-1.7834,24.0
10,XTR@DAX30,20090121,4261.15,21.3,4208.19,4313.69,4140.26,독일 DAX30,독일,0.5011,25.0
11,XTR@DAX30,20090122,4219.42,-41.73,4313.36,4368.47,4197.02,독일 DAX30,독일,-0.9841,26.0
12,XTR@DAX30,20090123,4178.94,-40.48,4204.0,4222.01,4067.43,독일 DAX30,독일,-0.964,27.0
13,XTR@DAX30,20090126,4326.87,147.93,4165.71,4371.52,4145.12,독일 DAX30,독일,3.4787,0.2
14,XTR@DAX30,20090127,4323.42,-3.45,4322.99,4360.79,4264.97,독일 DAX30,독일,-0.0798,1.2
15,XTR@DAX30,20090128,4518.72,195.3,4347.78,4533.7,4347.78,독일 DAX30,독일,4.4182,2.2
16,XTR@DAX30,20090129,4428.11,-90.61,4495.74,4501.44,4393.98,독일 DAX30,독일,-2.0256,3.2
17,XTR@DAX30,20090130,4338.35,-89.76,4420.33,4454.39,4312.17,독일 DAX30,독일,-2.0479,4.2
18,XTR@DAX30,20090202,4271.04,-67.31,4309.17,4309.19,4198.15,독일 DAX30,독일,-1.5637,7.2
19,XTR@DAX30,20090203,4374.96,103.92,4302.52,4385.44,4224.53,독일 DAX30,독일,2.404,8.2
20,XTR@DAX30,20090204,4492.79,117.83,4388.26,4545.52,4372.01,독일 DAX30,독일,2.6577,9.2
21,XTR@DAX30,20090205,4510.49,17.7,4443.95,4519.44,4387.78,독일 DAX30,독일,0.3932,10.2
22,XTR@DAX30,20090206,4644.63,134.14,4524.8,4657.06,4506.45,독일 DAX30,독일,2.9306,11.2
23,XTR@DAX30,20090209,4666.82,22.19,4627.83,4688.59,4596.74,독일 DAX30,독일,0.4766,14.2
24,XTR@DAX30,20090210,4505.54,-161.28,4636.64,4649.23,4505.54,독일 DAX30,독일,-3.517,15.2
25,XTR@DAX30,20090211,4530.09,24.55,4491.72,4539.22,4466.06,독일 DAX30,독일,0.5434,16.2
26,XTR@DAX30,20090212,4407.56,-122.53,4518.68,4518.68,4371.47,독일 DAX30,독일,-2.7421,17.2
27,XTR@DAX30,20090213,4413.39,5.83,4458.74,4508.72,4397.6,독일 DAX30,독일,0.1322,18.2
28,XTR@DAX30,20090216,4366.64,-46.75,4383.9,4421.78,4359.29,독일 DAX30,독일,-1.0649,21.2
29,XTR@DAX30,20090217,4216.6,-150.04,4329.35,4329.7,4195.22,독일 DAX30,독일,-3.4965,22.2
30,XTR@DAX30,20090218,4204.96,-11.64,4229.53,4255.39,4124.11,독일 DAX30,독일,-0.2764,23.2
31,XTR@DAX30,20090219,4215.21,10.25,4212.71,4275.09,4189.16,독일 DAX30,독일,0.2435,24.2
32,XTR@DAX30,20090220,4014.66,-200.55,4164.51,4167.05,4014.66,독일 DAX30,독일,-4.8747,25.2
33,XTR@DAX30,20090223,3936.45,-78.21,4057.25,4111.52,3912.71,독일 DAX30,독일,-1.9673,28.2
34,XTR@DAX30,20090224,3895.75,-40.7,3922.02,3932.59,3816.88,독일 DAX30,독일,-1.0393,29.2
35,XTR@DAX30,20090225,3846.21,-49.54,3937.93,3977.77,3790.79,독일 DAX30,독일,-1.2798,0.4
36,XTR@DAX30,20090226,3942.62,96.41,3882.88,3989.63,3849.76,독일 DAX30,독일,2.4757,1.4
37,XTR@DAX30,20090227,3843.74,-98.88,3907.85,3907.85,3764.69,독일 DAX30,독일,-2.54,2.4
38,XTR@DAX30,20090302,3710.07,-133.67,3817.51,3821.97,3692.78,독일 DAX30,독일,-3.5395,5.4
39,XTR@DAX30,20090303,3690.72,-19.35,3724.53,3755.88,3667.86,독일 DAX30,독일,-0.5229,6.4
40,XTR@DAX30,20090304,3890.94,200.22,3724.74,3891.71,3721.91,독일 DAX30,독일,5.2829,7.4
41,XTR@DAX30,20090305,3695.49,-195.45,3864.18,3864.18,3695.49,독일 DAX30,독일,-5.1538,8.4
42,XTR@DAX30,20090306,3666.41,-29.08,3699.33,3769.13,3638.0,독일 DAX30,독일,-0.79,9.4
43,XTR@DAX30,20090309,3692.03,25.62,3677.07,3706.32,3588.89,독일 DAX30,독일,0.6963,12.4
44,XTR@DAX30,20090310,3886.98,194.95,3716.29,3908.14,3681.33,독일 DAX30,독일,5.1456,13.4
45,XTR@DAX30,20090311,3914.1,27.12,3866.74,3994.77,3829.13,독일 DAX30,독일,0.6953,14.4
46,XTR@DAX30,20090312,3956.22,42.12,3890.23,3971.25,3802.2,독일 DAX30,독일,1.0704,15.4
47,XTR@DAX30,20090313,3953.6,-2.62,3988.05,4053.84,3936.81,독일 DAX30,독일,-0.0662,16.4
48,XTR@DAX30,20090316,4044.54,90.94,3990.83,4063.02,3983.4,독일 DAX30,독일,2.2741,19.4
49,XTR@DAX30,20090317,3987.77,-56.77,4040.83,4046.42,3947.28,독일 DAX30,독일,-1.4136,20.4
50,XTR@DAX30,20090318,3996.32,8.55,4024.18,4066.69,3948.59,독일 DAX30,독일,0.2142,21.4
51,XTR@DAX30,20090319,4043.46,47.14,4013.69,4137.8,4002.33,독일 DAX30,독일,1.1727,22.4
52,XTR@DAX30,20090320,4068.74,25.28,4006.47,4081.73,3995.09,독일 DAX30,독일,0.6233,23.4
53,XTR@DAX30,20090323,4176.37,107.63,4109.28,4184.77,4102.34,독일 DAX30,독일,2.6109,26.4
54,XTR@DAX30,20090324,4187.36,10.99,4201.49,4239.74,4150.97,독일 DAX30,독일,0.2628,27.4
55,XTR@DAX30,20090325,4223.29,35.93,4175.33,4262.23,4139.59,독일 DAX30,독일,0.8544,28.4
56,XTR@DAX30,20090326,4259.37,36.08,4226.97,4262.96,4210.98,독일 DAX30,독일,0.8507,29.4
