,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,BRI@BVSP,20090105,41518.66,1274.44,40243.4,41889.34,39525.7,브라질 BOVESPA,브라질,3.1177,9.0
1,BRI@BVSP,20090106,42312.28,793.62,41520.07,42363.19,41520.07,브라질 BOVESPA,브라질,1.8934,10.0
2,BRI@BVSP,20090107,40820.25,-1492.03,42308.27,42308.27,40563.43,브라질 BOVESPA,브라질,-3.5899,11.0
3,BRI@BVSP,20090108,41990.55,1170.3,40819.37,41990.55,40250.57,브라질 BOVESPA,브라질,2.8266,12.0
4,BRI@BVSP,20090109,41582.94,-407.61,41991.77,42525.21,41181.49,브라질 BOVESPA,브라질,-0.9755,13.0
5,BRI@BVSP,20090112,39403.47,-2179.47,41584.89,41584.89,39345.4,브라질 BOVESPA,브라질,-5.3836,16.0
6,BRI@BVSP,20090113,39544.23,140.76,39397.15,40322.58,38623.25,브라질 BOVESPA,브라질,0.3566,17.0
7,BRI@BVSP,20090114,37981.77,-1562.46,39537.37,39569.88,37658.34,브라질 BOVESPA,브라질,-4.0313,18.0
8,BRI@BVSP,20090115,39151.08,1169.31,37992.56,39196.9,36805.84,브라질 BOVESPA,브라질,3.0322,19.0
9,BRI@BVSP,20090116,39341.54,190.46,39149.39,39904.1,38578.43,브라질 BOVESPA,브라질,0.4853,20.0
10,BRI@BVSP,20090119,38828.32,-513.22,39351.35,39570.02,38700.1,브라질 BOVESPA,브라질,-1.3131,23.0
11,BRI@BVSP,20090120,37272.07,-1556.25,38828.32,39174.26,37272.07,브라질 BOVESPA,브라질,-4.0906,24.0
12,BRI@BVSP,20090121,38542.9,1270.83,37279.25,38542.9,37279.25,브라질 BOVESPA,브라질,3.3528,25.0
13,BRI@BVSP,20090122,37894.33,-648.57,38542.57,38844.76,37255.49,브라질 BOVESPA,브라질,-1.697,26.0
14,BRI@BVSP,20090123,38132.35,238.02,37891.3,38660.44,36743.71,브라질 BOVESPA,브라질,0.6262,27.0
