,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,ITI@FTSEMIB,20090105,20262.0,309.0,20160.0,20262.0,19953.0,이탈리아 FTSE MIB,이탈리아,1.5368,9.0
1,ITI@FTSEMIB,20090106,20729.0,467.0,20327.0,20996.0,20262.0,이탈리아 FTSE MIB,이탈리아,2.2786,10.0
2,ITI@FTSEMIB,20090107,20606.0,-123.0,20729.0,20858.0,20471.0,이탈리아 FTSE MIB,이탈리아,-0.5951,11.0
3,ITI@FTSEMIB,20090108,20630.0,24.0,20371.0,20671.0,20282.0,이탈리아 FTSE MIB,이탈리아,0.1164,12.0
4,ITI@FTSEMIB,20090109,20093.0,-537.0,20700.0,20700.0,20055.0,이탈리아 FTSE MIB,이탈리아,-2.6375,13.0
5,ITI@FTSEMIB,20090112,19911.0,-182.0,19992.0,20204.0,19856.0,이탈리아 FTSE MIB,이탈리아,-0.9099,16.0
6,ITI@FTSEMIB,20090113,19455.0,-456.0,19819.0,19911.0,19289.0,이탈리아 FTSE MIB,이탈리아,-2.3168,17.0
7,ITI@FTSEMIB,20090114,18763.0,-692.0,19652.0,19652.0,18562.0,이탈리아 FTSE MIB,이탈리아,-3.6217,18.0
8,ITI@FTSEMIB,20090115,18402.0,-361.0,18745.0,18900.0,18306.0,이탈리아 FTSE MIB,이탈리아,-1.9427,19.0
9,ITI@FTSEMIB,20090116,18703.0,301.0,18833.0,18908.0,18402.0,이탈리아 FTSE MIB,이탈리아,1.6225,20.0
10,ITI@FTSEMIB,20090119,18367.0,-336.0,18886.0,19027.0,18165.0,이탈리아 FTSE MIB,이탈리아,-1.8128,23.0
11,ITI@FTSEMIB,20090120,18024.0,-343.0,18384.0,18526.0,17952.0,이탈리아 FTSE MIB,이탈리아,-1.8851,24.0
12,ITI@FTSEMIB,20090121,17684.0,-340.0,17956.0,18026.0,17473.0,이탈리아 FTSE MIB,이탈리아,-1.9044,25.0
13,ITI@FTSEMIB,20090122,17369.0,-315.0,18018.0,18110.0,17253.0,이탈리아 FTSE MIB,이탈리아,-1.7973,26.0
14,ITI@FTSEMIB,20090123,17283.0,-86.0,17254.0,17378.0,16716.0,이탈리아 FTSE MIB,이탈리아,-0.4964,27.0
15,ITI@FTSEMIB,20090126,17797.0,514.0,17195.0,17865.0,17139.0,이탈리아 FTSE MIB,이탈리아,2.9307,0.2
16,ITI@FTSEMIB,20090127,17739.0,-58.0,17845.0,17845.0,17482.0,이탈리아 FTSE MIB,이탈리아,-0.3264,1.2
17,ITI@FTSEMIB,20090128,18341.0,602.0,17939.0,18453.0,17739.0,이탈리아 FTSE MIB,이탈리아,3.3373,2.2
18,ITI@FTSEMIB,20090129,18092.0,-249.0,18241.0,18354.0,17863.0,이탈리아 FTSE MIB,이탈리아,-1.3669,3.2
19,ITI@FTSEMIB,20090130,17934.0,-158.0,18039.0,18264.0,17800.0,이탈리아 FTSE MIB,이탈리아,-0.8771,4.2
20,ITI@FTSEMIB,20090202,17467.0,-467.0,17758.0,17934.0,17325.0,이탈리아 FTSE MIB,이탈리아,-2.6385,7.2
21,ITI@FTSEMIB,20090203,17669.0,202.0,17614.0,17670.0,17275.0,이탈리아 FTSE MIB,이탈리아,1.1498,8.2
22,ITI@FTSEMIB,20090204,18015.0,346.0,17786.0,18211.0,17652.0,이탈리아 FTSE MIB,이탈리아,1.9393,9.2
23,ITI@FTSEMIB,20090205,18013.0,-2.0,17723.0,18056.0,17579.0,이탈리아 FTSE MIB,이탈리아,-0.0111,10.2
24,ITI@FTSEMIB,20090206,18434.0,421.0,18160.0,18473.0,18013.0,이탈리아 FTSE MIB,이탈리아,2.3103,11.2
25,ITI@FTSEMIB,20090209,18663.0,229.0,18305.0,18726.0,18264.0,이탈리아 FTSE MIB,이탈리아,1.2346,14.2
26,ITI@FTSEMIB,20090210,18252.0,-411.0,18488.0,18744.0,18153.0,이탈리아 FTSE MIB,이탈리아,-2.2268,15.2
27,ITI@FTSEMIB,20090211,18074.0,-178.0,18030.0,18252.0,17924.0,이탈리아 FTSE MIB,이탈리아,-0.98,16.2
28,ITI@FTSEMIB,20090212,17669.0,-405.0,17988.0,18074.0,17487.0,이탈리아 FTSE MIB,이탈리아,-2.2663,17.2
29,ITI@FTSEMIB,20090213,17731.0,62.0,17890.0,18073.0,17648.0,이탈리아 FTSE MIB,이탈리아,0.3503,18.2
30,ITI@FTSEMIB,20090216,17410.0,-321.0,17604.0,17731.0,17396.0,이탈리아 FTSE MIB,이탈리아,-1.827,21.2
31,ITI@FTSEMIB,20090217,16726.0,-684.0,17279.0,17410.0,16712.0,이탈리아 FTSE MIB,이탈리아,-4.008,22.2
32,ITI@FTSEMIB,20090218,16580.0,-146.0,16824.0,16824.0,16267.0,이탈리아 FTSE MIB,이탈리아,-0.8767,23.2
33,ITI@FTSEMIB,20090219,16501.0,-79.0,16630.0,16671.0,16371.0,이탈리아 FTSE MIB,이탈리아,-0.4776,24.2
34,ITI@FTSEMIB,20090220,15530.0,-971.0,16193.0,16501.0,15530.0,이탈리아 FTSE MIB,이탈리아,-6.0647,25.2
35,ITI@FTSEMIB,20090223,15391.0,-139.0,15860.0,16010.0,15284.0,이탈리아 FTSE MIB,이탈리아,-0.8991,28.2
36,ITI@FTSEMIB,20090224,15436.0,45.0,15130.0,15540.0,15018.0,이탈리아 FTSE MIB,이탈리아,0.292,29.2
37,ITI@FTSEMIB,20090225,15218.0,-218.0,15757.0,15757.0,15079.0,이탈리아 FTSE MIB,이탈리아,-1.4224,0.4
