,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,NII@NI225,20090106,9080.84,37.72,9130.01,9171.03,9029.94,니케이225,일본,0.4162,10.0
1,NII@NI225,20090107,9239.24,158.4,9133.8,9325.35,9106.05,니케이225,일본,1.7293,11.0
2,NII@NI225,20090108,8876.42,-362.82,9143.21,9148.83,8876.42,니케이225,일본,-4.0061,12.0
3,NII@NI225,20090109,8836.8,-39.62,8932.71,8956.85,8773.2,니케이225,일본,-0.4474,13.0
4,NII@NI225,20090113,8413.91,-422.89,8732.63,8732.93,8405.5,니케이225,일본,-4.9039,17.0
5,NII@NI225,20090114,8438.45,24.54,8425.75,8516.07,8359.16,니케이225,일본,0.2912,18.0
6,NII@NI225,20090115,8023.31,-415.14,8309.38,8309.38,7997.73,니케이225,일본,-5.0448,19.0
7,NII@NI225,20090116,8230.15,206.84,8125.2,8283.91,8067.47,니케이225,일본,2.5453,20.0
8,NII@NI225,20090119,8256.85,26.7,8318.26,8351.68,8221.84,니케이225,일본,0.3239,23.0
9,NII@NI225,20090120,8065.79,-191.06,8187.14,8190.42,7962.46,니케이225,일본,-2.3411,24.0
10,NII@NI225,20090121,7901.64,-164.15,7949.96,8009.22,7829.3,니케이225,일본,-2.0561,25.0
11,NII@NI225,20090122,8051.74,150.1,7988.3,8051.74,7809.89,니케이225,일본,1.8818,26.0
12,NII@NI225,20090123,7745.25,-306.49,7965.41,7965.41,7745.25,니케이225,일본,-3.8808,27.0
13,NII@NI225,20090126,7682.14,-63.11,7714.26,7807.16,7671.04,니케이225,일본,-0.8182,0.2
14,NII@NI225,20090127,8061.07,378.93,7782.9,8115.15,7782.07,니케이225,일본,4.8148,1.2
15,NII@NI225,20090128,8106.29,45.22,8052.25,8171.63,7936.59,니케이225,일본,0.5594,2.2
16,NII@NI225,20090129,8251.24,144.95,8201.16,8305.38,8138.99,니케이225,일본,1.7723,3.2
17,NII@NI225,20090130,7994.05,-257.19,8142.88,8142.88,7922.39,니케이225,일본,-3.1666,4.2
18,NII@NI225,20090202,7873.98,-120.07,7908.51,7955.75,7795.27,니케이225,일본,-1.5134,7.2
19,NII@NI225,20090203,7825.51,-48.47,7862.95,8084.41,7800.8,니케이225,일본,-0.6175,8.2
20,NII@NI225,20090204,8038.94,213.43,7897.24,8084.97,7863.65,니케이225,일본,2.6908,9.2
21,NII@NI225,20090205,7949.65,-89.29,7985.53,8093.96,7901.04,니케이225,일본,-1.1169,10.2
22,NII@NI225,20090206,8076.62,126.97,8054.27,8169.04,8033.24,니케이225,일본,1.5846,11.2
23,NII@NI225,20090209,7969.03,-107.59,8178.07,8257.71,7969.03,니케이225,일본,-1.3411,14.2
24,NII@NI225,20090210,7945.94,-23.09,8066.94,8124.79,7917.27,니케이225,일본,-0.2902,15.2
25,NII@NI225,20090212,7705.36,-240.58,7842.53,7862.52,7685.68,니케이225,일본,-3.0745,17.2
26,NII@NI225,20090213,7779.4,74.04,7789.35,7887.74,7730.27,니케이225,일본,0.9563,18.2
27,NII@NI225,20090216,7750.17,-29.23,7732.68,7804.24,7694.73,니케이225,일본,-0.3764,21.2
28,NII@NI225,20090217,7645.51,-104.66,7690.13,7710.43,7615.94,니케이225,일본,-1.3596,22.2
29,NII@NI225,20090218,7534.44,-111.07,7539.96,7565.79,7479.18,니케이225,일본,-1.4634,23.2
30,NII@NI225,20090219,7557.65,23.21,7604.22,7642.69,7537.56,니케이225,일본,0.3076,24.2
31,NII@NI225,20090220,7416.38,-141.27,7544.07,7554.7,7382.33,니케이225,일본,-1.8869,25.2
32,NII@NI225,20090223,7376.16,-40.22,7314.3,7417.18,7209.43,니케이225,일본,-0.5438,28.2
33,NII@NI225,20090224,7268.56,-107.6,7266.68,7270.9,7155.16,니케이225,일본,-1.4695,29.2
34,NII@NI225,20090225,7461.22,192.66,7368.44,7471.03,7330.44,니케이225,일본,2.6161,0.4
35,NII@NI225,20090226,7457.93,-3.29,7470.6,7599.81,7433.06,니케이225,일본,-0.0441,1.4
36,NII@NI225,20090227,7568.42,110.49,7463.42,7589.77,7414.4,니케이225,일본,1.4706,2.4
37,NII@NI225,20090302,7280.15,-288.27,7454.28,7454.28,7234.96,니케이225,일본,-3.8833,5.4
38,NII@NI225,20090303,7229.72,-50.43,7177.79,7288.14,7088.47,니케이225,일본,-0.6951,6.4
39,NII@NI225,20090304,7290.96,61.24,7146.71,7320.65,7104.63,니케이225,일본,0.8435,7.4
40,NII@NI225,20090305,7433.49,142.53,7336.02,7532.87,7336.02,니케이225,일본,1.936,8.4
41,NII@NI225,20090306,7173.1,-260.39,7328.29,7328.29,7167.07,니케이225,일본,-3.5658,9.4
42,NII@NI225,20090309,7086.03,-87.07,7191.13,7241.02,7028.49,니케이225,일본,-1.2213,12.4
43,NII@NI225,20090310,7054.98,-31.05,7059.77,7100.77,7021.28,니케이225,일본,-0.4391,13.4
44,NII@NI225,20090311,7376.12,321.14,7165.39,7393.81,7161.85,니케이225,일본,4.4514,14.4
45,NII@NI225,20090312,7198.25,-177.87,7320.45,7345.02,7198.25,니케이225,일본,-2.441,15.4
46,NII@NI225,20090313,7569.28,371.03,7301.12,7571.45,7300.87,니케이225,일본,5.026,16.4
47,NII@NI225,20090316,7704.15,134.87,7630.2,7754.75,7630.2,니케이225,일본,1.7661,19.4
48,NII@NI225,20090317,7949.13,244.98,7767.34,7967.03,7723.94,니케이225,일본,3.1303,20.4
49,NII@NI225,20090318,7972.17,23.04,8006.86,8054.35,7895.28,니케이225,일본,0.2894,21.4
50,NII@NI225,20090319,7945.96,-26.21,8017.93,8034.09,7902.49,니케이225,일본,-0.3293,22.4
51,NII@NI225,20090323,8215.53,269.57,7943.14,8229.13,7922.55,니케이225,일본,3.3363,26.4
52,NII@NI225,20090324,8488.3,272.77,8334.68,8504.41,8297.27,니케이225,일본,3.2662,27.4
53,NII@NI225,20090325,8479.99,-8.31,8499.69,8553.01,8392.56,니케이225,일본,-0.0979,28.4
54,NII@NI225,20090326,8636.33,156.34,8430.22,8640.28,8383.99,니케이225,일본,1.8268,29.4
55,NII@NI225,20090327,8626.97,-9.36,8711.72,8843.18,8626.97,니케이225,일본,-0.1084,0.8
56,NII@NI225,20090330,8236.08,-390.89,8621.85,8651.06,8236.08,니케이225,일본,-4.6369,3.8
57,NII@NI225,20090331,8109.53,-126.55,8199.43,8383.74,8088.45,니케이225,일본,-1.5485,4.8
58,NII@NI225,20090401,8351.91,242.38,8173.36,8351.91,8084.62,니케이225,일본,2.945,5.8
59,NII@NI225,20090402,8719.78,367.87,8453.73,8741.67,8449.87,니케이225,일본,4.3104,6.8
60,NII@NI225,20090403,8749.84,30.06,8814.1,8884.63,8697.17,니케이225,일본,0.3441,7.8
61,NII@NI225,20090406,8857.93,108.09,8856.84,8992.06,8812.36,니케이225,일본,1.2278,10.8
62,NII@NI225,20090407,8832.85,-25.08,8838.66,8884.45,8778.92,니케이225,일본,-0.2835,11.8
63,NII@NI225,20090408,8595.01,-237.84,8746.73,8765.64,8556.75,니케이225,일본,-2.7296,12.8
64,NII@NI225,20090409,8916.06,321.05,8665.16,8920.86,8664.26,니케이225,일본,3.6672,13.8
65,NII@NI225,20090410,8964.11,48.05,9041.23,9068.8,8856.69,니케이225,일본,0.5375,14.8
66,NII@NI225,20090413,8924.43,-39.68,8930.35,9024.45,8888.1,니케이225,일본,-0.4436,17.8
67,NII@NI225,20090414,8842.68,-81.75,8955.9,8961.73,8749.92,니케이225,일본,-0.9202,18.8
68,NII@NI225,20090415,8742.96,-99.72,8777.68,8800.52,8681.03,니케이225,일본,-1.1341,19.8
69,NII@NI225,20090416,8755.26,12.3,8848.43,9030.0,8720.62,니케이225,일본,0.1406,20.8
70,NII@NI225,20090417,8907.58,152.32,8854.33,8953.34,8834.63,니케이225,일본,1.7248,21.8
71,NII@NI225,20090420,8924.75,17.17,8899.59,8933.8,8813.72,니케이225,일본,0.1926,24.8
72,NII@NI225,20090421,8711.33,-213.42,8802.09,8802.09,8612.76,니케이225,일본,-2.4204,25.8
73,NII@NI225,20090422,8727.3,15.97,8777.53,8802.9,8683.27,니케이225,일본,0.1832,26.8
