,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,PAS@CAC40,20090105,3359.92,10.23,3381.28,3382.85,3323.12,프랑스 CAC 40,프랑스,0.3049,9.0
1,PAS@CAC40,20090106,3396.22,36.3,3372.83,3426.04,3339.29,프랑스 CAC 40,프랑스,1.0746,10.0
2,PAS@CAC40,20090107,3346.09,-50.13,3378.99,3403.33,3316.6,프랑스 CAC 40,프랑스,-1.4871,11.0
3,PAS@CAC40,20090108,3324.33,-21.76,3310.76,3346.28,3269.8,프랑스 CAC 40,프랑스,-0.6524,12.0
4,PAS@CAC40,20090109,3299.5,-24.83,3337.01,3368.3,3271.03,프랑스 CAC 40,프랑스,-0.7497,13.0
5,PAS@CAC40,20090112,3246.12,-53.38,3288.72,3305.46,3236.47,프랑스 CAC 40,프랑스,-1.6311,16.0
6,PAS@CAC40,20090113,3197.89,-48.23,3234.52,3234.59,3154.29,프랑스 CAC 40,프랑스,-1.4969,17.0
7,PAS@CAC40,20090114,3052.0,-145.89,3219.37,3219.37,3018.06,프랑스 CAC 40,프랑스,-4.6694,18.0
8,PAS@CAC40,20090115,2995.88,-56.12,3055.88,3071.55,2962.56,프랑스 CAC 40,프랑스,-1.8559,19.0
9,PAS@CAC40,20090116,3016.75,20.87,3059.21,3107.85,3009.5,프랑스 CAC 40,프랑스,0.6942,20.0
10,PAS@CAC40,20090119,2989.69,-27.06,3069.92,3083.39,2949.64,프랑스 CAC 40,프랑스,-0.901,23.0
11,PAS@CAC40,20090120,2925.28,-64.41,2984.19,3031.55,2912.53,프랑스 CAC 40,프랑스,-2.178,24.0
12,PAS@CAC40,20090121,2905.57,-19.71,2896.83,2947.65,2841.87,프랑스 CAC 40,프랑스,-0.6761,25.0
13,PAS@CAC40,20090122,2869.62,-35.95,2944.13,2981.1,2864.74,프랑스 CAC 40,프랑스,-1.245,26.0
14,PAS@CAC40,20090123,2849.14,-20.48,2869.23,2885.62,2770.09,프랑스 CAC 40,프랑스,-0.7162,27.0
15,PAS@CAC40,20090126,2955.37,106.23,2834.54,2968.11,2834.54,프랑스 CAC 40,프랑스,3.6607,0.2
16,PAS@CAC40,20090127,2954.53,-0.84,2965.37,2970.95,2907.64,프랑스 CAC 40,프랑스,-0.0284,1.2
17,PAS@CAC40,20090128,3076.01,121.48,2992.21,3085.69,2989.68,프랑스 CAC 40,프랑스,4.0294,2.2
18,PAS@CAC40,20090130,2973.92,-35.83,3000.62,3028.09,2949.39,프랑스 CAC 40,프랑스,-3.3752,4.2
19,PAS@CAC40,20090202,2930.05,-43.87,2940.63,2940.84,2867.68,프랑스 CAC 40,프랑스,-1.4861,7.2
20,PAS@CAC40,20090203,2982.39,52.34,2951.32,2989.17,2899.22,프랑스 CAC 40,프랑스,1.7706,8.2
21,PAS@CAC40,20090204,3068.99,86.6,3007.95,3097.73,2988.45,프랑스 CAC 40,프랑스,2.8624,9.2
22,PAS@CAC40,20090205,3066.29,-2.7,3012.3,3069.11,2976.59,프랑스 CAC 40,프랑스,-0.088,10.2
23,PAS@CAC40,20090206,3122.79,56.5,3086.01,3146.69,3056.92,프랑스 CAC 40,프랑스,1.8258,11.2
24,PAS@CAC40,20090209,3134.87,12.08,3111.68,3146.13,3089.77,프랑스 CAC 40,프랑스,0.3861,14.2
25,PAS@CAC40,20090210,3020.75,-114.12,3102.5,3124.05,3020.75,프랑스 CAC 40,프랑스,-3.7083,15.2
26,PAS@CAC40,20090211,3027.72,6.97,2999.02,3034.01,2986.21,프랑스 CAC 40,프랑스,0.2305,16.2
27,PAS@CAC40,20090212,2964.34,-63.38,3012.06,3012.06,2932.41,프랑스 CAC 40,프랑스,-2.1155,17.2
28,PAS@CAC40,20090213,2997.86,33.52,3009.67,3044.73,2986.28,프랑스 CAC 40,프랑스,1.1244,18.2
29,PAS@CAC40,20090216,2962.22,-35.64,2974.47,2994.41,2960.77,프랑스 CAC 40,프랑스,-1.196,21.2
30,PAS@CAC40,20090217,2875.23,-86.99,2932.29,2935.79,2854.76,프랑스 CAC 40,프랑스,-2.9806,22.2
31,PAS@CAC40,20090218,2874.07,-1.16,2895.83,2898.34,2825.48,프랑스 CAC 40,프랑스,-0.0404,23.2
32,PAS@CAC40,20090219,2872.6,-1.47,2894.03,2913.1,2861.15,프랑스 CAC 40,프랑스,-0.0512,24.2
33,PAS@CAC40,20090220,2750.55,-122.05,2828.95,2830.33,2750.55,프랑스 CAC 40,프랑스,-4.3417,25.2
34,PAS@CAC40,20090223,2727.87,-22.68,2804.87,2810.91,2719.3,프랑스 CAC 40,프랑스,-0.828,28.2
35,PAS@CAC40,20090224,2708.05,-19.82,2708.0,2733.87,2669.5,프랑스 CAC 40,프랑스,-0.7292,29.2
36,PAS@CAC40,20090225,2696.92,-11.13,2745.46,2760.12,2662.73,프랑스 CAC 40,프랑스,-0.4118,0.4
37,PAS@CAC40,20090226,2744.84,47.92,2738.34,2769.57,2694.77,프랑스 CAC 40,프랑스,1.7612,1.4
38,PAS@CAC40,20090227,2702.48,-42.36,2705.44,2714.51,2644.19,프랑스 CAC 40,프랑스,-1.5553,2.4
39,PAS@CAC40,20090302,2581.46,-121.02,2636.75,2639.21,2581.46,프랑스 CAC 40,프랑스,-4.5815,5.4
40,PAS@CAC40,20090303,2554.55,-26.91,2597.03,2616.76,2552.31,프랑스 CAC 40,프랑스,-1.0479,6.4
41,PAS@CAC40,20090304,2675.68,121.13,2593.16,2675.68,2575.4,프랑스 CAC 40,프랑스,4.6327,7.4
42,PAS@CAC40,20090305,2569.63,-106.05,2657.82,2664.19,2569.63,프랑스 CAC 40,프랑스,-4.0442,8.4
43,PAS@CAC40,20090306,2534.45,-35.18,2566.19,2597.75,2521.46,프랑스 CAC 40,프랑스,-1.3785,9.4
44,PAS@CAC40,20090309,2519.29,-15.16,2546.26,2552.99,2465.46,프랑스 CAC 40,프랑스,-0.6,12.4
45,PAS@CAC40,20090310,2663.68,144.39,2520.22,2673.03,2510.24,프랑스 CAC 40,프랑스,5.5732,13.4
46,PAS@CAC40,20090311,2674.2,10.52,2653.55,2734.7,2617.44,프랑스 CAC 40,프랑스,0.3942,14.4
47,PAS@CAC40,20090312,2694.25,20.05,2636.94,2697.43,2594.73,프랑스 CAC 40,프랑스,0.747,15.4
48,PAS@CAC40,20090313,2705.63,11.38,2742.94,2771.72,2694.59,프랑스 CAC 40,프랑스,0.4215,16.4
49,PAS@CAC40,20090316,2791.66,86.03,2755.05,2791.66,2747.29,프랑스 CAC 40,프랑스,3.1302,19.4
50,PAS@CAC40,20090317,2767.28,-24.38,2764.02,2782.17,2722.19,프랑스 CAC 40,프랑스,-0.8772,20.4
51,PAS@CAC40,20090318,2760.34,-6.94,2805.14,2813.93,2720.44,프랑스 CAC 40,프랑스,-0.2511,21.4
52,PAS@CAC40,20090319,2776.99,16.65,2784.93,2833.21,2760.67,프랑스 CAC 40,프랑스,0.6014,22.4
53,PAS@CAC40,20090320,2791.14,14.15,2748.73,2798.04,2724.56,프랑스 CAC 40,프랑스,0.5083,23.4
54,PAS@CAC40,20090323,2869.57,78.43,2827.61,2873.99,2801.94,프랑스 CAC 40,프랑스,2.7712,26.4
55,PAS@CAC40,20090324,2874.39,4.82,2911.29,2916.67,2840.96,프랑스 CAC 40,프랑스,0.1678,27.4
56,PAS@CAC40,20090325,2893.45,19.06,2855.97,2918.23,2844.8,프랑스 CAC 40,프랑스,0.6609,28.4
57,PAS@CAC40,20090326,2892.07,-1.38,2899.93,2906.48,2856.89,프랑스 CAC 40,프랑스,-0.0477,29.4
58,PAS@CAC40,20090327,2840.62,-51.45,2890.42,2902.0,2823.99,프랑스 CAC 40,프랑스,-1.795,0.8
59,PAS@CAC40,20090330,2719.34,-121.28,2791.64,2794.78,2719.34,프랑스 CAC 40,프랑스,-4.3633,3.8
60,PAS@CAC40,20090331,2807.34,88.0,2734.69,2807.96,2734.69,프랑스 CAC 40,프랑스,3.1848,4.8
61,PAS@CAC40,20090401,2839.61,32.27,2792.59,2841.38,2741.27,프랑스 CAC 40,프랑스,1.1429,5.8
62,PAS@CAC40,20090402,2992.06,152.45,2896.67,3000.98,2896.67,프랑스 CAC 40,프랑스,5.2295,6.8
63,PAS@CAC40,20090403,2958.74,-33.32,2896.67,3019.02,2896.67,프랑스 CAC 40,프랑스,-1.1199,7.8
64,PAS@CAC40,20090406,2929.75,-28.99,2993.08,3018.36,2905.12,프랑스 CAC 40,프랑스,-0.9846,10.8
65,PAS@CAC40,20090407,2902.31,-27.44,2936.16,3018.36,2876.02,프랑스 CAC 40,프랑스,-0.941,11.8
66,PAS@CAC40,20090408,2921.06,18.75,2868.44,2936.82,2847.96,프랑스 CAC 40,프랑스,0.644,12.8
67,PAS@CAC40,20090409,2974.18,53.12,2943.75,2990.63,2923.41,프랑스 CAC 40,프랑스,1.8022,13.8
68,PAS@CAC40,20090414,3000.22,26.04,2994.45,3028.36,2960.82,프랑스 CAC 40,프랑스,0.8717,18.8
69,PAS@CAC40,20090415,2985.74,-14.48,2963.77,3003.0,2956.45,프랑스 CAC 40,프랑스,-0.4838,19.8
70,PAS@CAC40,20090416,3038.18,52.44,3006.9,3054.14,2977.83,프랑스 CAC 40,프랑스,1.7411,20.8
71,PAS@CAC40,20090417,3091.96,53.78,3049.75,3102.04,3029.61,프랑스 CAC 40,프랑스,1.7547,21.8
72,PAS@CAC40,20090420,2969.4,-122.56,3081.15,3082.56,2958.53,프랑스 CAC 40,프랑스,-4.0445,24.8
73,PAS@CAC40,20090421,2973.94,4.54,2963.99,3003.34,2898.52,프랑스 CAC 40,프랑스,0.1528,25.8
74,PAS@CAC40,20090422,3025.24,51.3,2972.32,3026.33,2935.18,프랑스 CAC 40,프랑스,1.7103,26.8
75,PAS@CAC40,20090423,3008.62,-16.62,2996.1,3056.64,2983.99,프랑스 CAC 40,프랑스,-0.5509,27.8
76,PAS@CAC40,20090424,3102.85,94.23,3022.16,3102.85,3016.95,프랑스 CAC 40,프랑스,3.084,28.8
77,PAS@CAC40,20090427,3102.43,-0.42,3045.88,3109.51,3040.45,프랑스 CAC 40,프랑스,-0.0135,2.4
78,PAS@CAC40,20090428,3051.02,-51.41,3044.65,3085.44,3016.06,프랑스 CAC 40,프랑스,-1.671,3.4
79,PAS@CAC40,20090430,3159.85,42.91,3142.42,3194.25,3141.36,프랑스 CAC 40,프랑스,3.5049,5.4
80,PAS@CAC40,20090504,3237.97,78.12,3169.44,3241.34,3168.25,프랑스 CAC 40,프랑스,2.4422,9.4
81,PAS@CAC40,20090505,3225.0,-12.97,3243.62,3260.62,3209.87,프랑스 CAC 40,프랑스,-0.4014,10.4
82,PAS@CAC40,20090506,3283.51,58.51,3205.99,3308.64,3205.73,프랑스 CAC 40,프랑스,1.798,11.4
83,PAS@CAC40,20090507,3251.52,-31.99,3320.06,3355.95,3244.27,프랑스 CAC 40,프랑스,-0.979,12.4
84,PAS@CAC40,20090508,3312.59,61.07,3281.65,3345.46,3279.16,프랑스 CAC 40,프랑스,1.8608,13.4
85,PAS@CAC40,20090511,3248.67,-63.92,3312.65,3312.65,3224.54,프랑스 CAC 40,프랑스,-1.9485,16.4
86,PAS@CAC40,20090512,3231.1,-17.57,3209.47,3270.61,3209.47,프랑스 CAC 40,프랑스,-0.5423,17.4
87,PAS@CAC40,20090513,3152.9,-78.2,3239.9,3254.83,3152.53,프랑스 CAC 40,프랑스,-2.45,18.4
88,PAS@CAC40,20090514,3156.29,3.39,3136.31,3167.13,3118.06,프랑스 CAC 40,프랑스,0.1075,19.4
89,PAS@CAC40,20090515,3169.05,12.76,3179.29,3190.74,3134.9,프랑스 CAC 40,프랑스,0.4035,20.4
90,PAS@CAC40,20090518,3245.39,76.34,3135.44,3245.39,3115.27,프랑스 CAC 40,프랑스,2.3804,23.4
91,PAS@CAC40,20090519,3274.96,29.57,3264.3,3294.69,3246.08,프랑스 CAC 40,프랑스,0.907,24.4
92,PAS@CAC40,20090520,3303.37,28.41,3262.05,3320.33,3258.58,프랑스 CAC 40,프랑스,0.8638,25.4
93,PAS@CAC40,20090521,3217.41,-85.96,3261.32,3266.47,3208.81,프랑스 CAC 40,프랑스,-2.6366,26.4
94,PAS@CAC40,20090522,3227.97,10.56,3233.82,3260.63,3199.8,프랑스 CAC 40,프랑스,0.3277,27.4
95,PAS@CAC40,20090525,3236.16,8.19,3235.22,3249.01,3168.22,프랑스 CAC 40,프랑스,0.2534,1.0
96,PAS@CAC40,20090526,3270.09,33.93,3235.22,3277.23,3170.56,프랑스 CAC 40,프랑스,1.043,2.0
97,PAS@CAC40,20090527,3294.86,24.77,3281.92,3301.77,3267.1,프랑스 CAC 40,프랑스,0.7546,3.0
98,PAS@CAC40,20090528,3263.7,-31.16,3250.05,3293.61,3231.61,프랑스 CAC 40,프랑스,-0.9502,4.0
99,PAS@CAC40,20090529,3277.65,13.95,3306.43,3317.58,3267.89,프랑스 CAC 40,프랑스,0.4265,5.0
100,PAS@CAC40,20090601,3379.49,101.84,3339.38,3384.08,3331.61,프랑스 CAC 40,프랑스,3.0598,8.0
101,PAS@CAC40,20090602,3378.04,-1.45,3346.56,3399.59,3342.28,프랑스 CAC 40,프랑스,-0.0429,9.0
102,PAS@CAC40,20090603,3309.65,-68.39,3387.88,3387.88,3288.99,프랑스 CAC 40,프랑스,-2.0453,10.0
103,PAS@CAC40,20090604,3312.03,2.38,3316.91,3351.64,3308.49,프랑스 CAC 40,프랑스,0.0719,11.0
104,PAS@CAC40,20090605,3339.05,27.02,3338.73,3389.81,3318.03,프랑스 CAC 40,프랑스,0.8125,12.0
105,PAS@CAC40,20090608,3289.66,-49.39,3327.56,3330.85,3275.7,프랑스 CAC 40,프랑스,-1.4902,15.0
106,PAS@CAC40,20090609,3296.73,7.07,3314.66,3332.35,3284.14,프랑스 CAC 40,프랑스,0.2147,16.0
107,PAS@CAC40,20090610,3315.27,18.54,3338.76,3370.87,3284.14,프랑스 CAC 40,프랑스,0.5608,17.0
108,PAS@CAC40,20090611,3334.94,19.67,3301.06,3343.06,3294.34,프랑스 CAC 40,프랑스,0.5916,18.0
109,PAS@CAC40,20090612,3326.14,-8.8,3328.39,3340.5,3310.52,프랑스 CAC 40,프랑스,-0.2642,19.0
110,PAS@CAC40,20090615,3219.58,-106.56,3308.57,3308.57,3213.32,프랑스 CAC 40,프랑스,-3.2562,22.0
111,PAS@CAC40,20090616,3213.95,-5.63,3224.28,3247.76,3209.81,프랑스 CAC 40,프랑스,-0.175,23.0
