,itemcode,date,close_val,change_val,open_val,high_val,low_val,itemname,country_name,log_change_rate,lunage
0,SPI@SPX,20090105,927.45,-4.35,929.17,936.63,919.53,S&P 500,미국,-0.4679,9.0
1,SPI@SPX,20090106,934.7,7.25,933.32,943.85,927.28,S&P 500,미국,0.7787,10.0
2,SPI@SPX,20090107,906.65,-28.05,927.45,927.45,902.37,S&P 500,미국,-3.0469,11.0
3,SPI@SPX,20090108,909.73,3.08,903.8,910.0,896.81,S&P 500,미국,0.3391,12.0
4,SPI@SPX,20090109,890.35,-19.38,910.61,911.93,888.31,S&P 500,미국,-2.1533,13.0
5,SPI@SPX,20090112,870.26,-20.09,909.91,911.93,864.32,S&P 500,미국,-2.2823,16.0
6,SPI@SPX,20090113,871.79,1.53,869.79,890.4,862.02,S&P 500,미국,0.1757,17.0
7,SPI@SPX,20090114,842.62,-29.17,869.79,877.02,836.93,S&P 500,미국,-3.4032,18.0
8,SPI@SPX,20090115,843.74,1.12,841.99,851.59,817.04,S&P 500,미국,0.1328,19.0
9,SPI@SPX,20090116,850.12,6.38,844.45,858.13,830.66,S&P 500,미국,0.7533,20.0
10,SPI@SPX,20090120,805.22,-44.9,849.64,849.64,804.47,S&P 500,미국,-5.4262,24.0
11,SPI@SPX,20090121,840.24,35.02,806.77,841.72,804.3,S&P 500,미국,4.2572,25.0
12,SPI@SPX,20090122,827.5,-12.74,839.74,839.74,811.29,S&P 500,미국,-1.5278,26.0
13,SPI@SPX,20090123,831.95,4.45,822.16,838.53,806.07,S&P 500,미국,0.5363,27.0
14,SPI@SPX,20090126,836.57,4.62,833.14,852.53,806.07,S&P 500,미국,0.5538,0.2
15,SPI@SPX,20090127,845.71,9.14,832.5,850.45,827.69,S&P 500,미국,1.0866,1.2
16,SPI@SPX,20090128,874.09,28.38,845.73,877.86,845.73,S&P 500,미국,3.3007,2.2
17,SPI@SPX,20090129,845.14,-28.95,868.89,868.89,844.15,S&P 500,미국,-3.3681,3.2
18,SPI@SPX,20090130,825.88,-19.26,847.9,851.66,821.67,S&P 500,미국,-2.3053,4.2
19,SPI@SPX,20090202,825.44,-0.44,823.09,830.78,812.87,S&P 500,미국,-0.0533,7.2
20,SPI@SPX,20090203,838.51,13.07,823.09,842.6,812.87,S&P 500,미국,1.571,8.2
21,SPI@SPX,20090204,832.23,-6.28,837.77,851.85,829.18,S&P 500,미국,-0.7518,9.2
22,SPI@SPX,20090205,845.85,13.62,831.75,850.55,819.91,S&P 500,미국,1.6233,10.2
23,SPI@SPX,20090206,868.6,22.75,846.39,870.75,845.42,S&P 500,미국,2.6541,11.2
24,SPI@SPX,20090209,869.89,1.29,868.24,875.01,861.65,S&P 500,미국,0.1484,14.2
25,SPI@SPX,20090210,827.16,-42.73,866.87,875.01,822.99,S&P 500,미국,-5.0369,15.2
26,SPI@SPX,20090211,833.74,6.58,827.41,838.22,822.3,S&P 500,미국,0.7923,16.2
27,SPI@SPX,20090212,835.19,1.45,829.91,835.48,808.06,S&P 500,미국,0.1738,17.2
28,SPI@SPX,20090213,826.84,-8.35,829.91,839.43,808.06,S&P 500,미국,-1.0048,18.2
29,SPI@SPX,20090217,789.17,-37.67,818.61,818.61,789.17,S&P 500,미국,-4.6629,22.2
30,SPI@SPX,20090218,788.42,-0.75,791.95,796.17,780.43,S&P 500,미국,-0.0951,23.2
31,SPI@SPX,20090219,778.94,-9.48,787.91,797.58,777.03,S&P 500,미국,-1.2097,24.2
