,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
0,KOSPI,20090105,117357,1617.0,1.4,414533,5189778,1.3874,9.0
1,KOSPI,20090106,119428,2071.0,1.76,443954,5492389,1.7493,10.0
2,KOSPI,20090107,122817,3389.0,2.84,568342,7553713,2.7982,11.0
3,KOSPI,20090108,120570,-2247.0,-1.83,472196,5718817,-1.8465,12.0
4,KOSPI,20090109,118096,-2474.0,-2.05,443276,5248039,-2.0733,13.0
5,KOSPI,20090112,115675,-2421.0,-2.05,352580,3849906,-2.0713,16.0
6,KOSPI,20090113,116771,1096.0,0.95,381226,4034586,0.943,17.0
7,KOSPI,20090114,118268,1497.0,1.28,358682,3896070,1.2738,18.0
8,KOSPI,20090115,111134,-7134.0,-6.03,366214,4490338,-6.2217,19.0
9,KOSPI,20090116,113520,2386.0,2.15,335548,4029407,2.1242,20.0
10,KOSPI,20090119,115065,1545.0,1.36,370042,4426414,1.3518,23.0
11,KOSPI,20090120,112681,-2384.0,-2.07,319212,3732735,-2.0936,24.0
12,KOSPI,20090121,110361,-2320.0,-2.06,334380,4086767,-2.0804,25.0
13,KOSPI,20090122,111623,1262.0,1.14,346702,4209813,1.137,26.0
14,KOSPI,20090123,109340,-2283.0,-2.05,268034,3467650,-2.0665,27.0
15,KOSPI,20090128,115798,6458.0,5.91,345131,4500217,5.7385,2.2
16,KOSPI,20090129,116656,858.0,0.74,384619,4787127,0.7382,3.2
17,KOSPI,20090130,116211,-445.0,-0.38,376959,3887057,-0.3822,4.2
18,KOSPI,20090202,114695,-1516.0,-1.3,374462,4403323,-1.3131,7.2
19,KOSPI,20090203,116320,1625.0,1.42,347602,4315095,1.4069,8.2
20,KOSPI,20090204,119537,3217.0,2.77,449968,5640787,2.7281,9.2
21,KOSPI,20090205,117788,-1749.0,-1.46,463377,5207129,-1.474,10.2
22,KOSPI,20090206,121026,3238.0,2.75,570678,5345254,2.7119,11.2
23,KOSPI,20090209,120269,-757.0,-0.63,475568,4840076,-0.6274,14.2
24,KOSPI,20090210,119887,-382.0,-0.32,468386,4068379,-0.3181,15.2
25,KOSPI,20090211,119018,-869.0,-0.72,469613,4206265,-0.7275,16.2
26,KOSPI,20090212,117984,-1034.0,-0.87,487946,4716511,-0.8726,17.2
27,KOSPI,20090213,119244,1260.0,1.07,574715,4142140,1.0623,18.2
28,KOSPI,20090216,117547,-1697.0,-1.42,509327,4096819,-1.4334,21.2
29,KOSPI,20090217,112719,-4828.0,-4.11,546286,4629679,-4.194,22.2
30,KOSPI,20090218,111319,-1400.0,-1.24,598131,4577894,-1.2498,23.2
31,KOSPI,20090219,110710,-609.0,-0.55,641432,4598103,-0.5486,24.2
32,KOSPI,20090220,106595,-4115.0,-3.72,587333,4052719,-3.7878,25.2
33,KOSPI,20090223,109955,3360.0,3.15,395968,3781252,3.1035,28.2
34,KOSPI,20090224,106388,-3567.0,-3.24,576242,3737806,-3.2978,29.2
35,KOSPI,20090225,106708,320.0,0.3,735242,4063375,0.3003,0.4
36,KOSPI,20090226,105479,-1229.0,-1.15,574940,4052839,-1.1584,1.4
37,KOSPI,20090227,106303,824.0,0.78,498237,3525824,0.7782,2.4
38,KOSPI,20090302,101881,-4422.0,-4.16,413891,3295452,-4.2488,5.4
39,KOSPI,20090303,102557,676.0,0.66,543321,3497372,0.6613,6.4
40,KOSPI,20090304,105926,3369.0,3.29,490749,4125722,3.2322,7.4
41,KOSPI,20090305,105818,-108.0,-0.1,509820,4438499,-0.102,8.4
42,KOSPI,20090306,105503,-315.0,-0.3,465690,3394264,-0.2981,9.4
43,KOSPI,20090309,107173,1670.0,1.58,457857,3401922,1.5705,12.4
44,KOSPI,20090310,109220,2047.0,1.91,614037,4759077,1.892,13.4
45,KOSPI,20090311,112751,3531.0,3.23,574161,5555413,3.1818,14.4
46,KOSPI,20090312,112839,88.0,0.08,536778,5914198,0.078,15.4
47,KOSPI,20090313,112603,-236.0,-0.21,506108,5149618,-0.2094,16.4
48,KOSPI,20090316,112546,-57.0,-0.05,435916,4274238,-0.0506,19.4
49,KOSPI,20090317,116388,3842.0,3.41,726612,5715760,3.3567,20.4
