,itemcode,date,close_val,change_val,change_rate,acc_quant,acc_amount,log_change_rate,lunage
0,KOSDAQ,20090105,34277,301.0,0.89,589407,1218202,0.882,9.0
1,KOSDAQ,20090106,34841,564.0,1.65,671274,1407173,1.632,10.0
2,KOSDAQ,20090107,35613,772.0,2.22,641699,1537447,2.1916,11.0
3,KOSDAQ,20090108,35652,39.0,0.11,573191,1384800,0.1095,12.0
4,KOSDAQ,20090109,35848,196.0,0.55,671572,1380976,0.5483,13.0
5,KOSDAQ,20090112,35135,-713.0,-1.99,714255,1276251,-2.009,16.0
6,KOSDAQ,20090113,35513,378.0,1.08,675688,1274659,1.0701,17.0
7,KOSDAQ,20090114,36463,950.0,2.68,657098,1462530,2.6399,18.0
8,KOSDAQ,20090115,34335,-2128.0,-5.84,659844,1633288,-6.0133,19.0
9,KOSDAQ,20090116,35460,1125.0,3.28,596587,1283030,3.224,20.0
10,KOSDAQ,20090119,36313,853.0,2.41,597104,1374172,2.3771,23.0
11,KOSDAQ,20090120,35819,-494.0,-1.36,666175,1323174,-1.3697,24.0
12,KOSDAQ,20090121,35243,-576.0,-1.61,543430,1144981,-1.6212,25.0
13,KOSDAQ,20090122,35858,615.0,1.75,524741,1144597,1.73,26.0
14,KOSDAQ,20090123,35283,-575.0,-1.6,502625,1149676,-1.6165,27.0
15,KOSDAQ,20090128,36168,885.0,2.51,462869,1102883,2.4773,2.2
16,KOSDAQ,20090129,36398,230.0,0.64,554106,1255011,0.6339,3.2
17,KOSDAQ,20090130,36490,92.0,0.25,522306,1140181,0.2524,4.2
18,KOSDAQ,20090202,36577,87.0,0.24,493744,1251544,0.2381,7.2
19,KOSDAQ,20090203,37228,651.0,1.78,505437,1430303,1.7642,8.2
20,KOSDAQ,20090204,37888,660.0,1.77,609393,1615157,1.7573,9.2
21,KOSDAQ,20090205,37349,-539.0,-1.42,650616,1614536,-1.4328,10.2
22,KOSDAQ,20090206,37879,530.0,1.42,623137,1465109,1.4091,11.2
23,KOSDAQ,20090209,37683,-196.0,-0.52,620281,1302015,-0.5188,14.2
24,KOSDAQ,20090210,38026,343.0,0.91,676845,1383606,0.9061,15.2
25,KOSDAQ,20090211,38341,315.0,0.83,647817,1584430,0.825,16.2
26,KOSDAQ,20090212,38592,251.0,0.65,665320,1540909,0.6525,17.2
27,KOSDAQ,20090213,39569,977.0,2.53,829768,1837232,2.5001,18.2
28,KOSDAQ,20090216,40287,718.0,1.81,843015,2112521,1.7983,21.2
29,KOSDAQ,20090217,38317,-1970.0,-4.89,978626,2188996,-5.0135,22.2
30,KOSDAQ,20090218,39007,690.0,1.8,990903,2144295,1.7847,23.2
31,KOSDAQ,20090219,38467,-540.0,-1.38,1024559,2472476,-1.394,24.2
32,KOSDAQ,20090220,36714,-1753.0,-4.56,968218,1935806,-4.6643,25.2
33,KOSDAQ,20090223,37557,843.0,2.3,694721,1572232,2.2702,28.2
34,KOSDAQ,20090224,37011,-546.0,-1.45,645197,1701943,-1.4645,29.2
35,KOSDAQ,20090225,36208,-803.0,-2.17,769986,1603486,-2.1935,0.4
36,KOSDAQ,20090226,35865,-343.0,-0.95,671722,1636709,-0.9518,1.4
37,KOSDAQ,20090227,36321,456.0,1.27,502871,1164512,1.2634,2.4
38,KOSDAQ,20090302,34971,-1350.0,-3.72,642043,1089205,-3.7877,5.4
39,KOSDAQ,20090303,34776,-195.0,-0.56,681308,1325157,-0.5592,6.4
40,KOSDAQ,20090304,35990,1214.0,3.49,622713,1368691,3.4314,7.4
41,KOSDAQ,20090305,36216,226.0,0.63,704844,1677979,0.626,8.4
42,KOSDAQ,20090306,36518,302.0,0.83,637856,1850580,0.8304,9.4
43,KOSDAQ,20090309,37873,1355.0,3.71,645157,1715955,3.6433,12.4
44,KOSDAQ,20090310,37792,-81.0,-0.21,756404,1903139,-0.2141,13.4
45,KOSDAQ,20090311,38569,777.0,2.06,783250,1750511,2.0351,14.4
46,KOSDAQ,20090312,38659,90.0,0.23,810825,1595407,0.2331,15.4
47,KOSDAQ,20090313,38927,268.0,0.69,883716,1679234,0.6908,16.4
48,KOSDAQ,20090316,38777,-150.0,-0.39,663939,1495738,-0.3861,19.4
49,KOSDAQ,20090317,39466,689.0,1.78,654321,1456215,1.7612,20.4
50,KOSDAQ,20090318,39860,394.0,1.0,725318,1801767,0.9934,21.4
51,KOSDAQ,20090319,39394,-466.0,-1.17,807123,1524693,-1.176,22.4
52,KOSDAQ,20090320,40071,677.0,1.72,687651,1366982,1.7039,23.4
53,KOSDAQ,20090323,40923,852.0,2.13,619540,1460207,2.1039,26.4
54,KOSDAQ,20090324,41239,316.0,0.77,585400,1583693,0.7692,27.4
55,KOSDAQ,20090325,41929,690.0,1.67,672579,1623466,1.6593,28.4
56,KOSDAQ,20090326,42727,798.0,1.9,644591,1960653,1.8853,29.4
57,KOSDAQ,20090327,42124,-603.0,-1.41,783939,2114317,-1.4213,0.8
58,KOSDAQ,20090330,41201,-923.0,-2.19,594583,1559800,-2.2155,3.8
59,KOSDAQ,20090331,42144,943.0,2.29,639286,1707614,2.263,4.8
60,KOSDAQ,20090401,43097,953.0,2.26,648980,1840161,2.2361,5.8
61,KOSDAQ,20090402,43984,887.0,2.06,746382,2108094,2.0373,6.8
62,KOSDAQ,20090403,43916,-68.0,-0.15,657714,1909719,-0.1547,7.8
63,KOSDAQ,20090406,44794,878.0,2.0,723431,2290288,1.9795,10.8
64,KOSDAQ,20090407,45857,1063.0,2.37,708895,2796334,2.3454,11.8
65,KOSDAQ,20090408,46083,226.0,0.49,784191,2590548,0.4916,12.8
66,KOSDAQ,20090409,48145,2062.0,4.47,904769,2899425,4.3773,13.8
67,KOSDAQ,20090410,49326,1181.0,2.45,903621,3176341,2.4234,14.8
68,KOSDAQ,20090413,50723,1397.0,2.83,913393,3448709,2.7928,17.8
69,KOSDAQ,20090414,50868,145.0,0.29,1093296,3968252,0.2855,18.8
70,KOSDAQ,20090415,50220,-648.0,-1.27,1058244,3828792,-1.2821,19.8
71,KOSDAQ,20090416,49752,-468.0,-0.93,863150,3311209,-0.9363,20.8
